,gene_symbols,n_cells,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches,highly_variable_intersection,gene_ids
SPP1,SPP1,15308,True,0.06360462702415877,2.0726035014381616,14.888826,13,False,ENSG00000118785
RARRES1,RARRES1,91939,True,0.28448076145319867,1.7726511603819213,13.1898155,14,True,ENSG00000118849
PCDH17,PCDH17,24949,True,0.03340120460288274,1.2655728454032478,3.7542872,8,False,ENSG00000118946
CCND2,CCND2,72562,True,0.11123117806702003,1.2208383058256078,4.0779047,9,False,ENSG00000118971
DNAH7,DNAH7,31965,True,0.049008215527658,1.1931599569240972,6.479764,6,False,ENSG00000118997
C2orf40,C2orf40,42694,True,0.0831394553446362,1.6273628009457035,14.303195,13,False,ENSG00000119147
CTNNAL1,CTNNAL1,89552,True,0.1276146402618738,1.105733318235815,3.3426805,10,False,ENSG00000119326
NR4A3,NR4A3,55816,True,0.1098062302904466,1.2664687831509003,4.833921,11,False,ENSG00000119508
CSF3R,CSF3R,67655,True,0.10915669232607565,1.1661793064292945,2.570389,6,False,ENSG00000119535
BBOF1,BBOF1,38853,True,0.05219783289137198,1.0886191544306787,4.252355,5,False,ENSG00000119636
LTBP2,LTBP2,15809,True,0.02049358601072385,1.2309082758578191,2.9466903,9,False,ENSG00000119681
EPCAM,EPCAM,151203,True,0.29253333371194945,1.114429654325747,2.9244652,6,False,ENSG00000119888
TEK,TEK,14584,True,0.019372613790514186,1.167388948673721,2.6217284,6,False,ENSG00000120156
CCDC170,CCDC170,51142,True,0.0934205552382505,1.3511111700028235,11.08648,11,False,ENSG00000120262
MYCT1,MYCT1,20878,True,0.02633611791647174,1.163184889562324,2.7587225,6,False,ENSG00000120279
CXorf21,CXorf21,17918,True,0.021371454330926663,1.1171061145970533,1.4250066,5,False,ENSG00000120280
TGFBI,TGFBI,99619,True,0.1845334552657709,1.1949004257493259,5.2260103,9,False,ENSG00000120708
EGR1,EGR1,197184,True,0.509703688365526,1.2406474339931215,4.107592,12,False,ENSG00000120738
SOCS2,SOCS2,57701,True,0.08620894375949073,1.124472473106405,2.6255476,6,False,ENSG00000120833
DUSP4,DUSP4,49549,True,0.11744487811704116,1.2625782142754212,5.193829,12,False,ENSG00000120875
CLU,CLU,219886,True,0.6111240503522665,1.468621425710665,6.826788,12,False,ENSG00000120885
TBX2,TBX2,9843,True,0.014044153539243981,1.3153305772425292,2.8804848,7,False,ENSG00000121068
A1BG,A1BG,50064,True,0.07430073332200947,1.1475412549673905,2.9582856,5,False,ENSG00000121410
CSTA,CSTA,219419,True,0.6203677522525526,1.1175100330324788,2.7420597,5,False,ENSG00000121552
FABP3,FABP3,32881,True,0.07582923166542112,1.4024436994897833,6.463633,10,False,ENSG00000121769
CCR2,CCR2,5629,True,0.008241004214892371,1.2761728219054345,2.389927,5,False,ENSG00000121807
TNFSF10,TNFSF10,204776,True,0.4444757669305293,1.094728368841334,2.7587905,7,False,ENSG00000121858
TMEM156,TMEM156,7356,True,0.013738753511905498,1.3356271536408073,2.7470682,8,False,ENSG00000121895
TMIGD3,TMIGD3,13108,True,0.03343403558730458,1.2602496807557453,3.1047382,6,False,ENSG00000121933
CXCR4,CXCR4,138969,True,0.46737368021519676,1.5222169859866364,6.394975,14,True,ENSG00000121966
PAEP,PAEP,647,True,0.001242718383230862,1.1838471938353652,1.7290537,6,False,ENSG00000122133
LAX1,LAX1,9006,True,0.021495881340073804,1.3904279260002002,3.5381114,9,False,ENSG00000122188
CD244,CD244,7881,True,0.014808923032261096,1.3507581060634297,2.5703623,7,False,ENSG00000122223
LY9,LY9,10548,True,0.022402473172603844,1.4591887740715896,4.5327334,11,False,ENSG00000122224
ODF2L,ODF2L,147511,True,0.2365734251974743,1.0559378135467479,2.8739614,6,False,ENSG00000122417
INHBA,INHBA,71636,True,0.19032930042729115,1.5046223780354355,6.3329153,14,True,ENSG00000122641
RAMP3,RAMP3,34603,True,0.06842932524098294,1.5560798211186522,7.559194,11,False,ENSG00000122679
DNAI1,DNAI1,23013,True,0.030069820853530733,1.065789837304433,3.5831916,6,False,ENSG00000122735
CALD1,CALD1,76482,True,0.15166638302380206,1.4844554219569588,8.160113,14,True,ENSG00000122786
SFTPA1,SFTPA1,115140,True,0.5864258456286692,2.228931264166337,10.608695,9,False,ENSG00000122852
PLAU,PLAU,55034,True,0.09921594212939543,1.0367882108155142,2.6925101,6,False,ENSG00000122861
SRGN,SRGN,259726,True,1.065352902300291,1.311637294674052,8.788714,6,False,ENSG00000122862
EGR2,EGR2,60988,True,0.08798163321105448,1.1477801929258338,3.5253856,9,False,ENSG00000122877
BHLHE41,BHLHE41,92604,True,0.13539402571580933,0.950624027283504,2.106471,5,False,ENSG00000123095
ARHGAP9,ARHGAP9,37954,True,0.061716535134625605,1.2333788730092436,3.3926768,7,False,ENSG00000123329
NCKAP1L,NCKAP1L,82624,True,0.1274031762681461,1.1353256955194682,2.7923572,5,False,ENSG00000123338
MMP19,MMP19,72011,True,0.15406081858877488,1.2278948168328916,3.2726867,9,False,ENSG00000123342
NR4A1,NR4A1,193743,True,0.43485454888037184,1.09851941024995,3.5979826,9,False,ENSG00000123358
TNFAIP6,TNFAIP6,20320,True,0.05285822117524551,1.4977214987243834,6.058567,10,False,ENSG00000123610
G0S2,G0S2,70249,True,0.2500298551608037,1.8547736609657626,14.103807,14,True,ENSG00000123689
C4BPA,C4BPA,51190,True,0.09347863740219622,1.215812807094899,3.4984102,5,False,ENSG00000123838
DAW1,DAW1,20330,True,0.025486780882014066,1.0823509025850737,3.012189,4,False,ENSG00000123977
PI3,PI3,70010,True,0.25472291786574175,1.6196771224210553,10.646229,12,False,ENSG00000124102
SLPI,SLPI,318327,True,1.8454436985316607,1.8048837553503012,7.3897047,10,False,ENSG00000124107
PREX1,PREX1,49034,True,0.07130758427884262,1.143438948373479,2.850151,7,False,ENSG00000124126
TOX2,TOX2,10209,True,0.013410183877066219,1.282736456132574,2.5436237,6,False,ENSG00000124191
ZNF831,ZNF831,1578,True,0.0030783600955999464,1.386229195810341,2.1109636,6,False,ENSG00000124203
PTGIS,PTGIS,17984,True,0.029500189389555294,1.1733198448347573,3.4594731,6,False,ENSG00000124212
SNAI1,SNAI1,16175,True,0.025178473154025136,1.2161756222754823,2.3945353,5,False,ENSG00000124216
C20orf85,C20orf85,56641,True,0.16598880646147962,2.2335125857543314,24.83284,14,True,ENSG00000124237
IL17C,IL17C,830,True,0.0011860596411503706,1.0754819780579334,2.4884534,5,False,ENSG00000124391
HIF3A,HIF3A,27278,True,0.03597426688876615,1.1612277389667955,2.9666572,6,False,ENSG00000124440
LYPD3,LYPD3,40415,True,0.09989601589403706,1.1875555853146504,3.7501094,8,False,ENSG00000124466
F13A1,F13A1,16412,True,0.037616039461035256,1.4893109979080168,6.3935084,11,False,ENSG00000124491
HIST1H1D,HIST1H1D,31394,True,0.046862329341378184,1.1941313285056065,3.8154335,8,False,ENSG00000124575
TREM1,TREM1,106170,True,0.27035319799454866,1.304776071005548,3.5038934,9,False,ENSG00000124731
CDKN1A,CDKN1A,179849,True,0.3758676831416129,1.0272331271926853,2.5163877,5,False,ENSG00000124762
SOX4,SOX4,174337,True,0.4237329464301768,1.0993027566385114,3.4794364,8,False,ENSG00000124766
NRN1,NRN1,16793,True,0.02679666135009649,1.2661097126829512,3.780969,10,False,ENSG00000124785
CXCL6,CXCL6,37869,True,0.06878989055628659,1.5145202567773526,7.0971494,12,False,ENSG00000124875
EREG,EREG,54060,True,0.18005776765974527,1.6601960030786693,10.073949,12,False,ENSG00000124882
SCGB2A1,SCGB2A1,44338,True,0.08574352084166592,1.2422410486940245,5.6089163,8,False,ENSG00000124939
MT1G,MT1G,46840,True,0.1022425701143705,1.7039346859615159,13.948129,14,True,ENSG00000125144
MT2A,MT2A,348696,True,1.2589912575747468,1.2883718937155628,4.4616237,13,False,ENSG00000125148
GPR18,GPR18,4196,True,0.010101784999271892,1.3840819101030124,2.612286,6,False,ENSG00000125245
EFNB2,EFNB2,45182,True,0.05494230941513782,1.1078040518230767,2.4890985,7,False,ENSG00000125266
IRF1,IRF1,213074,True,0.4266530970082901,1.0240148949956374,2.1429074,6,False,ENSG00000125347
SEPT6,SEPT6,76426,True,0.11382117627142273,1.1011733446266747,2.9379625,4,False,ENSG00000125354
PTGER2,PTGER2,39128,True,0.0781751984107822,1.1671438521019635,3.0596492,9,False,ENSG00000125384
KIR2DL1,KIR2DL1,3385,True,0.007213471112670419,1.331628175915345,2.975479,8,False,ENSG00000125498
IL1B,IL1B,74308,True,0.24983684374403886,1.937995433307807,11.366348,14,True,ENSG00000125538
CD70,CD70,3530,True,0.008623515744280255,1.4248845277395963,3.220175,9,False,ENSG00000125726
C3,C3,126507,True,0.2707796150682257,1.3270358775897158,6.6498113,13,False,ENSG00000125730
TNFSF14,TNFSF14,15449,True,0.026159841927894726,1.2842374847295406,3.5547078,7,False,ENSG00000125735
FOSB,FOSB,237740,True,0.6690691369361287,1.0843767466629497,2.9217072,6,False,ENSG00000125740
CD93,CD93,46461,True,0.09398472338041601,1.4440426115425633,6.7053113,12,False,ENSG00000125810
BMP2,BMP2,34012,True,0.04748879023514137,1.084284444116309,2.5957198,5,False,ENSG00000125845
FLRT3,FLRT3,64043,True,0.08816075689391246,1.1176088677798883,3.3266897,8,False,ENSG00000125848
PCSK2,PCSK2,9993,True,0.011369048391191556,0.9674994848174999,2.167222,5,False,ENSG00000125851
ID1,ID1,209850,True,0.6440946646749454,1.3331149385936132,4.7581806,12,False,ENSG00000125968
BPIFB1,BPIFB1,118065,True,0.43291236555231777,2.4887315157071095,21.001371,14,True,ENSG00000125999
HCST,HCST,155810,True,0.411218176562107,1.2754285354207728,6.3116827,7,False,ENSG00000126264
CCR7,CCR7,9476,True,0.0302820832381251,1.7293371462431646,6.917748,12,False,ENSG00000126353
STATH,STATH,18702,True,0.060194511686865244,1.4650518085385615,18.280823,7,False,ENSG00000126549
IFI6,IFI6,179281,True,0.38730888887825643,1.1591730693345679,5.078226,10,False,ENSG00000126709
CFP,CFP,37236,True,0.07348628883103545,1.3215653554310627,5.1570106,11,False,ENSG00000126759
RHOJ,RHOJ,9279,True,0.012128833865888025,1.0213851300697845,1.5864538,6,False,ENSG00000126785
HSPA2,HSPA2,66511,True,0.10020416197087341,1.1204788559444225,2.5735996,7,False,ENSG00000126803
EVI2A,EVI2A,75839,True,0.1462783521876409,1.1895484756812285,2.9946747,6,False,ENSG00000126860
OMG,OMG,40825,True,0.08935773475930674,1.6207790422556327,14.106098,14,True,ENSG00000126861
WDR60,WDR60,93371,True,0.12545055121398635,1.01956755901456,2.7078378,6,False,ENSG00000126870
RGS13,RGS13,6780,True,0.018635440262978187,1.7589353273573558,6.51441,11,False,ENSG00000127074
OMD,OMD,7681,True,0.00896832524241975,1.118863231772501,1.6164292,5,False,ENSG00000127083
FGD3,FGD3,23722,True,0.03264135547090969,1.1054081973241185,1.4775107,5,False,ENSG00000127084
EDN2,EDN2,13608,True,0.037940212826519985,1.2487222001127967,5.6166797,6,False,ENSG00000127129
BCL11B,BCL11B,20292,True,0.03191721088908391,1.31296853566868,3.6987906,9,False,ENSG00000127152
IL22,IL22,209,True,0.0009669742398382427,2.2007566035637707,5.9567323,11,False,ENSG00000127318
TSPAN8,TSPAN8,66442,True,0.12719576746767508,1.347364878335134,7.7495546,12,False,ENSG00000127324
PTPRB,PTPRB,28890,True,0.05108761217982018,1.3955572260350995,5.6574326,8,False,ENSG00000127329
ADGRE2,ADGRE2,28738,True,0.049041561528038936,1.280423864265798,3.9024854,10,False,ENSG00000127507
KLF2,KLF2,156239,True,0.27024432896395845,1.122300615915696,3.95727,10,False,ENSG00000127528
F2RL3,F2RL3,11635,True,0.021173744509475893,1.2619792664792868,3.7548056,5,False,ENSG00000127533
TUBA4A,TUBA4A,106837,True,0.19817071906224665,1.0994843327100212,3.1219862,8,False,ENSG00000127824
GNG11,GNG11,71578,True,0.14600413131631076,1.540780287434601,8.387039,10,False,ENSG00000127920
FGL2,FGL2,50872,True,0.10087603640484781,1.42737330782126,6.8469496,12,False,ENSG00000127951
STEAP4,STEAP4,81703,True,0.15071627082821495,1.2134762031282391,5.71436,11,False,ENSG00000127954
SPINK2,SPINK2,4414,True,0.006640497827206027,1.427005371632389,3.5417938,11,False,ENSG00000128040
KDR,KDR,13046,True,0.016855613206144412,1.22551820020812,3.2757165,7,False,ENSG00000128052
VPREB3,VPREB3,3142,True,0.005401144243524873,1.4051836686970238,2.7367241,9,False,ENSG00000128218
RAC2,RAC2,135847,True,0.28436304567830767,1.1867246583789075,5.146872,6,False,ENSG00000128340
LIF,LIF,14375,True,0.02294304021302587,1.247051438994772,4.1319437,7,False,ENSG00000128342
APOBEC3A,APOBEC3A,18715,True,0.04279779248462669,1.528567853587095,9.94114,12,False,ENSG00000128383
KRT17,KRT17,104285,True,0.5512584441835069,1.9287288633488209,12.558249,13,False,ENSG00000128422
CPA4,CPA4,8204,True,0.01992212151715157,0.9237632073639803,2.9374292,5,False,ENSG00000128510
CDHR3,CDHR3,38790,True,0.06927947809873033,1.3893299923534932,10.110154,12,False,ENSG00000128536
PODXL,PODXL,58122,True,0.0799219699521808,1.1725593696055003,3.7510402,6,False,ENSG00000128567
CHN1,CHN1,9520,True,0.013368909764590767,1.273410476957311,2.091768,7,False,ENSG00000128656
ISLR,ISLR,21321,True,0.026301941143716534,1.0838313277787672,2.551743,5,False,ENSG00000129009
PALLD,PALLD,100659,True,0.16193192452308008,1.0534357298782557,2.24826,6,False,ENSG00000129116
CD68,CD68,169083,True,0.571386810592867,1.2771852889987034,4.0081115,10,False,ENSG00000129226
CDKN2D,CDKN2D,62706,True,0.08907630263253825,1.0465279886258887,1.9903797,6,False,ENSG00000129355
KLK10,KLK10,35472,True,0.057170250152854284,1.1649340408668907,4.7642136,7,False,ENSG00000129451
RNASE1,RNASE1,166449,True,0.48407311970260214,1.5585110634014838,8.349211,14,True,ENSG00000129538
FOXJ1,FOXJ1,35856,True,0.06290697170328273,1.383921011345068,9.772752,12,False,ENSG00000129654
CDKN1C,CDKN1C,54782,True,0.07632319225957933,1.0948791421361506,3.2549489,7,False,ENSG00000129757
RPS4Y1,RPS4Y1,258365,True,0.6980507169526167,1.1042597446196203,3.0311332,7,False,ENSG00000129824
CNN1,CNN1,5650,True,0.01010849409997267,1.552614193908773,5.8772397,11,False,ENSG00000130176
APOE,APOE,128587,True,0.5091630862351358,2.0216819716996355,11.448923,12,False,ENSG00000130203
APOC1,APOC1,178969,True,0.7871246995087736,2.0434099630122575,12.174707,12,False,ENSG00000130208
GADD45G,GADD45G,83894,True,0.1298637835223071,1.0433665265931251,2.8014176,7,False,ENSG00000130222
PLVAP,PLVAP,13148,True,0.02461908116084795,1.602012274105227,6.4665985,12,False,ENSG00000130300
BST2,BST2,235341,True,0.46924736445115045,0.9693541171516041,2.438999,5,False,ENSG00000130303
USHBP1,USHBP1,7633,True,0.00891162245981919,1.157188831092668,1.4440469,5,False,ENSG00000130307
STK33,STK33,36110,True,0.050100570709289416,1.167569467567113,5.0712605,8,False,ENSG00000130413
GDF15,GDF15,89372,True,0.2225108449375906,1.371249733843627,7.5007305,13,False,ENSG00000130513
LSP1,LSP1,168570,True,0.3389954363800346,1.0807242232592704,3.9580877,7,False,ENSG00000130592
COL5A1,COL5A1,10111,True,0.013454311507653666,1.2539636195574084,2.336496,5,False,ENSG00000130635
CALY,CALY,425,True,0.0006699808720814891,1.2693029048368418,3.0266685,5,False,ENSG00000130643
GMFG,GMFG,183570,True,0.4794817471138649,1.15836977903026,5.1062174,5,False,ENSG00000130755
MPP1,MPP1,77501,True,0.12698642228057028,1.0484806973538576,1.5255985,5,False,ENSG00000130830
ZNF331,ZNF331,113281,True,0.25220939463071146,1.2056123224409114,4.3554387,11,False,ENSG00000130844
RGN,RGN,11524,True,0.014339388082687362,1.2520274160647864,2.585362,5,False,ENSG00000130988
AKAP12,AKAP12,41947,True,0.08342117596386377,1.4887444284468445,9.646887,12,False,ENSG00000131016
SYNE1,SYNE1,109325,True,0.17217243428194237,1.214850089306754,7.02716,10,False,ENSG00000131018
LILRB2,LILRB2,37526,True,0.06783019886010853,1.3043448944596345,4.6033154,9,False,ENSG00000131042
BPIFA2,BPIFA2,18133,True,0.03669410151468416,1.177515693816714,4.2875953,6,False,ENSG00000131050
COX4I2,COX4I2,6786,True,0.013648956891740673,1.497952888260881,4.8470387,8,False,ENSG00000131055
HIGD1B,HIGD1B,5370,True,0.01058800184594227,1.4201321620024512,4.294002,9,False,ENSG00000131097
IDO1,IDO1,24527,True,0.03965268149953421,1.3748774072404502,5.746475,10,False,ENSG00000131203
GALNT15,GALNT15,7135,True,0.009263299615915334,1.017972050498537,2.107421,5,False,ENSG00000131386
NAPSA,NAPSA,91730,True,0.37632590120664744,1.968390190547631,9.431535,11,False,ENSG00000131400
AOC3,AOC3,26532,True,0.03469411801999646,1.0850239549384182,1.8678421,6,False,ENSG00000131471
RAMP2,RAMP2,64513,True,0.1319872129039925,1.5522784985512479,7.1745324,10,False,ENSG00000131477
TMEM204,TMEM204,38307,True,0.06070036015344985,1.2941050173120563,3.828049,10,False,ENSG00000131634
CA6,CA6,273,True,0.00047617393464670165,1.2618127499117635,2.8977916,5,False,ENSG00000131686
MAP1B,MAP1B,31100,True,0.04253609848217725,1.175081163039079,5.0909133,9,False,ENSG00000131711
TOP2A,TOP2A,14808,True,0.03186757183791837,1.3716943194400382,8.163383,8,False,ENSG00000131747
CHSY1,CHSY1,45763,True,0.060390438981518614,1.0581634691443185,1.5266579,5,False,ENSG00000131873
MATN3,MATN3,4696,True,0.005540835373899829,1.0258971885907973,1.426981,5,False,ENSG00000132031
FCRLA,FCRLA,1371,True,0.002946895783717206,1.478255211482052,3.0181043,9,False,ENSG00000132185
RAMP1,RAMP1,28255,True,0.04430859141009601,1.254832145537622,4.8430767,10,False,ENSG00000132329
PTPRE,PTPRE,126111,True,0.217554074330927,1.0826024060212889,3.0819664,8,False,ENSG00000132334
SERPINF1,SERPINF1,142207,True,0.3881807619531003,1.338877302592317,6.475893,13,False,ENSG00000132386
JCHAIN,JCHAIN,17660,True,0.04103856698415979,2.8211449168879157,20.352392,12,False,ENSG00000132465
CLEC10A,CLEC10A,15384,True,0.039180012848142216,1.4856893529021076,5.6317453,12,False,ENSG00000132514
HSPA12B,HSPA12B,11887,True,0.01521951991093258,1.1657804184739375,1.9378458,6,False,ENSG00000132622
NES,NES,15507,True,0.021478703703763844,1.2632524144835746,2.4872277,7,False,ENSG00000132688
SYT11,SYT11,16446,True,0.020872313251467493,1.2157993128046136,2.4719052,5,False,ENSG00000132718
ALOX5AP,ALOX5AP,168362,True,0.650745118659537,1.5363205994915834,8.8347845,12,False,ENSG00000132965
CHI3L1,CHI3L1,32509,True,0.0641335783671483,1.297912024462044,8.134892,8,False,ENSG00000133048
CHIT1,CHIT1,16370,True,0.03412530969610582,1.5242766450995586,6.3787804,8,False,ENSG00000133063
POSTN,POSTN,29142,True,0.056082230167235736,1.7982515616460812,12.360017,14,True,ENSG00000133110
STOML3,STOML3,23617,True,0.032900131171404765,1.1127457251142636,4.2559614,5,False,ENSG00000133115
BEX1,BEX1,3502,True,0.0064124078580865525,1.2830046593673459,4.7777634,6,False,ENSG00000133169
MYH11,MYH11,13166,True,0.024664725165259378,1.655152768856542,7.617907,12,False,ENSG00000133392
GIMAP6,GIMAP6,27781,True,0.04046657636770297,1.3053908296894339,3.5216646,10,False,ENSG00000133561
GIMAP4,GIMAP4,81803,True,0.13507559712776748,1.3219447959027077,5.14231,11,False,ENSG00000133574
NTS,NTS,82319,True,0.248719269134667,1.6017955139530782,8.591791,13,False,ENSG00000133636
LRRIQ1,LRRIQ1,43710,True,0.09336322514246882,1.6563785154626003,15.08946,13,False,ENSG00000133640
SFTPD,SFTPD,76043,True,0.2551918619831787,1.6498891550699208,7.547627,8,False,ENSG00000133661
DYDC2,DYDC2,24940,True,0.03627017659444719,1.26893128088199,5.880106,7,False,ENSG00000133665
SPINK5,SPINK5,58222,True,0.10403779656196825,1.2527822738155459,6.3039527,10,False,ENSG00000133710
CA1,CA1,1615,True,0.002108133748304993,1.274340360459546,1.3789866,5,False,ENSG00000133742
LYVE1,LYVE1,12738,True,0.02581584501251375,1.549311185366345,6.20942,10,False,ENSG00000133800
PEBP4,PEBP4,68758,True,0.16622144223323104,1.3053122242263455,4.1063523,6,False,ENSG00000134020
ADAMDEC1,ADAMDEC1,2393,True,0.004041522739505482,1.3581343993327946,2.4884143,6,False,ENSG00000134028
GSTM3,GSTM3,56783,True,0.08208810404532278,1.072978288858384,2.2228484,7,False,ENSG00000134202
PTPN22,PTPN22,35249,True,0.05144752200666149,1.2266071110000376,3.0627072,6,False,ENSG00000134242
FKBP11,FKBP11,93355,True,0.16805789269376473,1.1389369390189146,4.2879395,10,False,ENSG00000134285
SAA2,SAA2,52348,True,0.14009386722755107,2.015140195647055,15.913341,14,True,ENSG00000134339
FST,FST,19153,True,0.029702718143933125,1.132962939835094,5.376385,7,False,ENSG00000134363
GRP,GRP,1703,True,0.003864399488695626,2.064031926623057,16.110765,9,False,ENSG00000134443
IL2RA,IL2RA,5054,True,0.012406860902062786,1.4009304421994195,3.3718886,10,False,ENSG00000134460
EMP1,EMP1,135397,True,0.29913950044936904,1.271548310493987,5.3802814,13,False,ENSG00000134531
KLRD1,KLRD1,35304,True,0.1175251251196177,1.7830430882743298,10.053157,13,False,ENSG00000134539
KLRC1,KLRC1,12682,True,0.035403567940414105,1.8382827891618658,9.536184,14,True,ENSG00000134545
PRH2,PRH2,1048,True,0.002045327067020611,1.5850572948787576,9.382085,5,False,ENSG00000134551
RAB33A,RAB33A,5017,True,0.009349506891226782,1.25451822499931,1.9258058,5,False,ENSG00000134594
TCN1,TCN1,31320,True,0.08774278245425667,1.5052407149735358,9.334343,9,False,ENSG00000134827
C5AR2,C5AR2,20026,True,0.036650133646743854,1.1032301406011598,2.1115253,6,False,ENSG00000134830
PDGFRA,PDGFRA,12013,True,0.01843792549517773,1.2794525417910827,2.9439387,7,False,ENSG00000134853
COL4A2,COL4A2,31774,True,0.04579609176068962,1.2639640609509883,4.3265533,8,False,ENSG00000134871
CLDN10,CLDN10,44028,True,0.09374907589729549,1.2045077857848783,3.892872,8,False,ENSG00000134873
ADAMTS8,ADAMTS8,4758,True,0.006476549324363291,1.0737895588784372,1.7328168,5,False,ENSG00000134917
ETS1,ETS1,60899,True,0.10000702700338397,1.2196720449353171,4.7940574,10,False,ENSG00000134954
CTSL,CTSL,202133,True,0.5185922753802945,1.0926259721856932,2.386847,7,False,ENSG00000135047
TMEM2,TMEM2,98764,True,0.15423216914118323,1.096239684642402,2.6416736,8,False,ENSG00000135048
ADAM19,ADAM19,9942,True,0.01940127375150403,1.3664883187705101,3.8844168,10,False,ENSG00000135074
HAVCR2,HAVCR2,67154,True,0.11962598550329014,1.1339813550162416,2.1813495,6,False,ENSG00000135077
SDS,SDS,8912,True,0.027207532697958694,1.6302124782781569,6.941046,12,False,ENSG00000135094
TBX3,TBX3,27608,True,0.03508269127057921,1.2278324557115956,2.9544778,6,False,ENSG00000135111
CCDC146,CCDC146,54134,True,0.09702601297372615,1.4130421933638353,9.9404335,13,False,ENSG00000135205
CD36,CD36,100007,True,0.18743707966746476,1.0971427309905712,2.7898388,8,False,ENSG00000135218
HILPDA,HILPDA,54281,True,0.07380171308942471,1.0024962055202007,1.6318593,5,False,ENSG00000135245
CGA,CGA,89,True,0.00020505690424934067,1.2304663790215857,5.7249074,4,False,ENSG00000135346
TESPA1,TESPA1,6774,True,0.013383809369453712,1.3547182150789836,3.0317786,8,False,ENSG00000135426
KRT7,KRT7,166934,True,0.5837577960244695,1.457641883571586,6.9463468,12,False,ENSG00000135480
PKIB,PKIB,48718,True,0.07544782255722192,1.1344758864010784,4.515079,10,False,ENSG00000135549
DYSF,DYSF,9813,True,0.014465614686370266,1.2091856073267357,1.8374796,5,False,ENSG00000135636
DOCK10,DOCK10,45858,True,0.06666050811087366,1.185283380954655,2.821653,5,False,ENSG00000135905
ITM2C,ITM2C,67597,True,0.10326235808781768,1.185625873095764,3.7102387,10,False,ENSG00000135916
SERPINE2,SERPINE2,25518,True,0.04842307334055755,1.3577987211389702,6.2292757,12,False,ENSG00000135919
WNT10A,WNT10A,12701,True,0.018337432219673218,1.211889430808867,2.5733929,5,False,ENSG00000135925
CYP27A1,CYP27A1,117353,True,0.25032557961853646,1.0966211828243555,2.1873055,6,False,ENSG00000135929
PLXNC1,PLXNC1,17576,True,0.02635441736413518,1.1869009665806167,2.311956,5,False,ENSG00000136040
LMO7,LMO7,172018,True,0.3591152054416828,1.0917250278622577,2.8995373,6,False,ENSG00000136153
SCEL,SCEL,21910,True,0.036097600369223014,1.1623378762370116,3.747276,8,False,ENSG00000136155
EDNRB,EDNRB,32732,True,0.05602452908463411,1.4659776313067827,5.045502,10,False,ENSG00000136160
LCP1,LCP1,160219,True,0.3795175568835612,1.245278566383084,6.646394,5,False,ENSG00000136167
GPNMB,GPNMB,134883,True,0.352212912279468,1.24929474671343,5.149302,13,False,ENSG00000136235
RAPGEF5,RAPGEF5,45436,True,0.05864853660698581,1.093309989615539,1.8742814,6,False,ENSG00000136237
IL6,IL6,30575,True,0.08426418318062447,1.5957667600499974,10.151328,11,False,ENSG00000136244
AOAH,AOAH,33068,True,0.05390959474706116,1.2947881149182232,3.9634857,10,False,ENSG00000136250
MYO1G,MYO1G,66113,True,0.10858215904293148,1.1862757801296755,3.3463082,4,False,ENSG00000136286
NKX2-1,NKX2-1,80925,True,0.12866035729403763,0.9751215484951455,3.268107,8,False,ENSG00000136352
LIMD2,LIMD2,72947,True,0.1464030896985895,1.3364394525298526,7.416861,11,False,ENSG00000136490
SCN7A,SCN7A,9596,True,0.01668196907942159,1.4907346684658032,5.5753407,9,False,ENSG00000136546
BLK,BLK,2648,True,0.004909650550388133,1.4272589442422863,3.0243177,10,False,ENSG00000136573
IL10,IL10,13793,True,0.042944652131848005,1.4411175894990633,5.083577,10,False,ENSG00000136634
IL1RN,IL1RN,67097,True,0.15302036162776173,1.3566714091409207,8.0363245,13,False,ENSG00000136689
GYPC,GYPC,161664,True,0.3167379276509532,1.0628061980877002,3.7710662,6,False,ENSG00000136732
WDR38,WDR38,30553,True,0.049752970488128524,1.3377225622965148,7.992331,11,False,ENSG00000136918
ENPP2,ENPP2,14150,True,0.024185316169061426,1.457652512680559,5.320999,10,False,ENSG00000136960
MYC,MYC,105926,True,0.20628334438598261,1.1553401922881865,3.3429294,10,False,ENSG00000136997
IL33,IL33,100354,True,0.1886363141459802,1.203766274223565,5.041681,8,False,ENSG00000137033
CCL21,CCL21,17578,True,0.05587933872811739,2.4783235276127584,19.765268,12,False,ENSG00000137077
SIT1,SIT1,11306,True,0.023957002554802157,1.405880155776813,4.0712447,10,False,ENSG00000137078
SPAG8,SPAG8,27516,True,0.03592650794688152,1.136518924430419,4.19042,6,False,ENSG00000137098
PIM1,PIM1,98901,True,0.16873965311314834,1.054492225534208,2.6702554,9,False,ENSG00000137193
IRF4,IRF4,11263,True,0.01896651094860116,1.2788727606462473,2.7745595,6,False,ENSG00000137265
IER3,IER3,194186,True,0.5811381394764821,1.1682118212961667,3.5035954,10,False,ENSG00000137331
RNF144B,RNF144B,88522,True,0.13098739535249518,1.0343330789514713,1.9259787,7,False,ENSG00000137393
FGFBP1,FGFBP1,50218,True,0.16551328241843805,1.2158050731149859,4.1722813,7,False,ENSG00000137440
FGFBP2,FGFBP2,21568,True,0.07405957857337557,1.785976880803304,8.599363,11,False,ENSG00000137441
SLCO2B1,SLCO2B1,78358,True,0.13173684350800138,1.1459733001055687,2.5447614,5,False,ENSG00000137491
