Gene,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
EBNA1BP2,4552.9497,2600.7856,4299.0195,2112.0283,2383.8628,604.0014,1610.7192,2544.0176,513.6226,3443.3699,1213.7949,1673.9082,1539.6482,685.3532,3704.0312,977.95233,1119.8981,1629.8352,3165.4116,1523.188,1089.4421,1596.281,830.96844,771.1671,1635.8057,2310.459,2029.9918,1100.812,4676.4536,2675.3413
CDC20,1571.1628,4550.6777,3368.877,4344.5283,1031.9108,798.68616,2177.8997,1006.426,794.3677,2776.977,861.9588,1565.2233,673.2301,2008.8359,1902.668,3092.3262,2265.6736,1900.3088,5380.2104,2546.6301,2442.1,2055.3345,718.17285,1815.1267,1359.3552,592.016,649.82806,695.45044,4286.585,1899.8811
KIF2C,6062.0264,2352.9272,836.9264,1851.3915,2687.7644,2778.583,1393.6072,1674.2296,555.69574,1232.0925,2766.2637,1707.623,1931.341,1216.3911,1653.9401,1316.1038,2432.4988,1813.411,958.4946,537.7461,1353.608,1265.356,609.21045,488.13898,1246.9197,1888.0443,4688.5107,543.1571,1023.7728,1341.154
PRDX1,2553.3328,4676.8438,1593.8357,2211.8672,2930.917,3865.963,1440.8,3670.8245,3382.5427,7743.864,833.2239,5007.1973,3121.476,721.54755,4401.9673,2633.0522,738.1461,3704.685,1444.8262,2319.9233,1610.3235,903.71484,6858.016,946.56134,1162.7463,5378.248,1971.8823,996.9177,2737.3696,5156.5454
CDKN2C,478.0417,532.5404,941.4205,265.83704,1294.1128,923.83093,493.41846,584.6676,634.71814,489.58392,548.60913,763.31744,2839.0254,730.33,312.32956,2499.7217,464.96436,1042.767,533.5797,864.3414,979.5621,636.34546,532.0923,1797.2485,1626.9521,742.7929,246.47229,1912.0104,700.4517,296.47925
JUN,281.74323,276.44424,201.1745,328.11816,594.7833,1158.1409,256.37244,1125.062,684.21924,391.06912,774.40247,612.63995,509.95483,499.92163,1818.4628,823.71313,376.80725,237.23221,1219.3904,456.34338,185.24979,784.48804,183.27551,428.18857,216.56862,553.67346,370.6472,269.57516,846.5327,546.4397
GADD45A,1569.8799,3637.9697,1138.6768,702.6581,2467.9968,873.16644,2632.5308,8801.164,1691.2839,1718.5387,2041.4799,1119.019,4331.3213,1364.2909,7593.1914,2988.9421,3040.8755,1131.7671,4585.9746,2967.97,4077.6064,691.2229,1076.0477,2695.879,1064.6451,1303.864,1257.8656,1497.0236,2673.8323,842.17847
TTLL7,22.968517,19.713142,62.33929,12.967142,53.70315,46.59568,26.649866,32.728138,26.226383,29.583248,27.848854,22.978554,42.71748,23.227493,21.070326,22.250198,63.136673,56.211838,26.588354,18.463202,17.753227,21.147533,16.35037,22.994946,52.875385,18.564728,34.88201,21.821743,60.631966,46.2509
LMO4,968.91656,7067.1147,1596.7876,677.0579,917.64624,5972.3765,1457.027,1848.3342,808.81775,1102.8237,6315.25,1877.3718,6192.604,1427.3652,5504.0786,1904.8999,2243.0818,6015.688,2690.6616,987.5733,2804.3403,4285.667,2038.5178,4433.3916,1496.433,3446.057,830.0956,2502.0933,2266.2666,816.1194
GBP2,15.651109,26.268839,28.241444,12.898308,52.711792,22.06616,25.056808,24.308327,81.55675,16.237928,55.828377,24.456093,25.075874,39.17636,15.489634,43.255394,34.290154,19.290516,42.21447,15.101498,18.972923,17.372143,14.2081375,42.6568,73.84304,33.918766,97.98879,99.38135,14.297282,89.366745
RP5-1065J22.8,223.60522,56.079483,103.84075,172.65025,61.32637,108.20294,88.56433,57.743996,37.430904,46.29069,96.28613,55.641182,37.216434,51.663784,100.46282,70.34279,72.26251,74.59303,142.86835,120.39761,42.30411,38.582,176.67374,77.32341,97.231476,53.333614,113.93288,62.49303,69.30314,60.632454
CD53,616.5644,339.72705,1055.5825,240.2241,537.9744,343.57172,583.45667,496.68256,554.99927,1076.7983,954.19727,1480.1865,283.53775,1028.9589,684.7755,402.25064,248.28079,339.77582,286.19806,373.01996,1165.9187,1243.0177,793.541,1285.7245,355.7303,1130.1704,343.67798,592.7716,1139.77,750.19055
CHI3L2,226.08351,1334.5328,344.79486,815.5714,498.25012,303.506,213.95695,503.8318,1068.4241,231.97098,235.73726,380.82697,415.88324,531.0639,584.90894,327.5251,857.9579,195.46674,463.52057,150.47636,162.3314,528.02466,164.96893,1164.2714,470.49307,385.27036,249.06496,761.05896,476.54434,375.64227
RHOC,713.9128,3328.4683,1008.71045,1716.1746,2648.7803,2293.7485,533.88477,4321.5693,3693.7146,620.2285,2809.757,2385.2122,1557.8958,981.1345,5499.494,442.8667,1088.7854,472.72913,2377.9033,1701.7156,1574.6206,539.244,1448.1505,615.93396,990.7254,795.6284,535.1618,544.3626,867.8025,1462.22
PHGDH,159.31784,112.3963,118.26758,104.56862,114.64069,200.14604,391.2642,1334.7994,434.42252,181.99019,573.4836,632.94763,347.7779,108.19092,286.8867,161.8462,687.05505,168.97354,149.73094,120.989105,138.20906,255.66263,901.0908,285.40582,668.98,139.39189,375.64594,660.3112,127.75491,199.27261
TXNIP,590.327,749.07367,1333.842,2441.2573,1353.5862,1420.281,1660.508,1716.7139,1952.6113,1698.5923,680.263,1840.606,1303.5798,2232.0432,1757.3916,2574.9692,1933.1807,573.0055,1709.3431,480.06415,863.8898,594.90546,658.3822,788.91986,696.89703,560.2257,611.1216,474.47626,783.9663,686.4188
HFE2,30.192724,20.652021,31.178131,23.09898,29.467213,94.90827,20.876244,29.371622,26.109241,23.131214,23.160301,19.610321,22.648056,54.490715,18.047438,20.457594,13.937214,31.011591,17.49179,17.067715,19.399647,47.379143,32.46831,14.872284,28.395676,15.719736,15.297455,78.00302,30.008524,20.685501
HIST2H2AC,345.66464,3209.768,1382.7133,1171.6226,977.1322,2728.1228,494.265,2555.7964,1680.1136,1330.1204,360.2561,1112.0858,1232.9475,1650.0559,409.04193,684.9528,507.8927,1700.5856,2904.13,545.8956,2471.6729,3234.8855,331.0061,1550.1963,1670.375,1289.9248,2679.1133,370.4485,691.28253,1010.49176
PLEKHO1,142.89297,229.50458,399.31528,383.9544,245.40594,148.46292,176.93837,423.56598,323.70346,907.3277,446.87073,711.82623,473.98456,224.75397,814.0748,134.59167,747.26227,238.40395,635.12665,561.2385,267.03076,162.58177,155.42303,223.04875,184.01587,378.00317,128.16214,325.0521,560.5648,434.29385
ANP32E,2293.8228,1244.9159,752.1017,2002.0587,5313.7354,3559.3127,2270.859,7064.207,553.05927,2503.574,918.6794,2200.4214,478.11896,469.62866,2645.981,1325.9321,3316.9473,2653.6067,819.126,954.7252,1329.0653,658.6651,3266.4065,1451.601,628.39276,486.2706,2511.7566,2240.4497,1221.0394,1072.6575
ECM1,85.94386,58.01407,46.501404,85.21472,75.80715,34.505333,106.42447,98.42293,79.75451,93.88452,34.954124,37.03251,32.750248,28.817152,59.06716,68.676895,72.62792,107.91518,128.23358,157.08473,122.611404,37.883118,31.884033,38.39099,29.0468,83.745995,63.08564,160.42084,132.03815,45.826805
ADAMTSL4,496.86664,459.04535,632.9406,334.51422,788.6784,1612.9242,519.7892,500.53888,333.45605,1833.3685,401.4581,1088.1683,698.45087,562.8053,770.9057,1024.9247,373.09802,575.45483,1221.6118,256.89227,630.4081,1305.638,547.60034,517.0316,626.23175,1114.0427,981.6581,1194.8229,1972.8604,480.50748
CTSS,234.76422,132.98941,144.08983,524.8635,197.03621,257.45715,297.9502,341.26154,404.48575,233.25793,196.73889,151.47806,400.5152,151.1229,337.10648,480.71133,101.70831,298.7527,147.0632,423.45776,506.62198,179.76846,529.6953,143.46875,242.81857,225.66849,371.11597,248.35645,404.98688,185.04054
C1orf56,1323.5824,3249.8545,2063.2356,1601.3774,429.20593,897.77026,409.0127,593.0371,706.5567,1865.4867,1835.4553,508.01263,616.23267,358.34094,2023.1416,2635.715,1105.6552,995.4617,499.73672,502.99927,1413.6001,729.3922,906.71155,968.33435,2726.7131,1133.1533,2095.47,829.9149,1009.8679,1308.4084
CDC42SE1,2595.176,4219.5635,1984.9272,1999.7751,1855.1113,556.0075,440.51926,754.8278,1593.0023,2152.2937,3632.643,1055.2861,612.45667,361.25513,1163.7139,3847.0269,546.8527,1365.9668,759.5921,400.49478,1035.8119,1143.656,1638.145,710.4653,3092.5483,1561.706,2008.0504,509.51447,583.3964,1145.157
MLLT11,685.91797,758.1201,2070.3389,964.269,1459.7466,1327.0159,714.43854,766.98334,2821.7065,3187.0017,1549.626,1394.0508,301.8827,552.92804,1715.4884,1137.5399,465.88345,642.8285,375.62653,398.36017,366.21375,847.8708,1158.619,2479.421,1278.1458,512.03815,493.54523,276.2976,928.5406,455.4108
GABPB2,72.71239,68.07621,84.70555,46.59304,108.56078,93.12178,56.182545,75.810104,228.17723,61.421806,97.05237,50.024605,88.14105,82.62851,134.09026,152.43105,149.06662,81.61607,151.95624,69.07619,95.25257,67.356735,127.188095,165.67854,127.7865,84.81733,84.00672,88.29239,161.09055,126.09996
S100A10,339.02847,1382.5912,2347.976,1375.1351,2174.6257,1883.6824,928.5299,444.09402,620.8897,2289.185,390.25836,1183.6974,912.11255,321.56305,1489.1904,563.97705,2889.7942,597.89496,741.5591,1362.0505,949.5198,704.0751,362.9824,333.04987,1073.0825,336.64746,1967.9993,544.31555,1817.2991,340.18607
S100A11,1137.5258,2619.657,7456.6567,1932.7148,10790.737,1171.2286,2231.8142,1171.803,1501.4404,10176.627,3778.3123,11141.012,6879.829,1314.3616,5628.715,3271.2808,4596.202,2321.9907,3844.0872,1106.3416,3763.0881,3588.0337,4982.43,3124.7722,7986.452,3861.3152,4567.075,3718.919,2335.6572,9706.17
S100A4,400.62714,1687.3057,734.752,650.9813,464.10687,392.9716,1643.5078,2254.9888,460.54376,1235.2332,1588.4106,389.84317,399.42505,713.33264,593.20264,367.68878,281.35577,734.9874,421.0183,1617.9893,300.57275,299.53323,836.1644,648.35156,1183.5342,309.30862,345.9399,375.2106,3239.5217,349.6366
S100A13,1107.9443,3400.099,3026.5583,754.82495,4932.5225,728.2016,3665.7678,1623.0581,2956.7126,1491.7025,1478.2053,4426.5894,1449.6641,566.6,2650.5852,2776.0513,3503.6816,1127.1279,2164.8179,1732.8665,5013.1836,2459.1074,1117.1615,1671.5835,1816.1819,652.88354,808.2634,4393.8135,2819.1982,2772.904
S100A1,182.23842,411.75928,289.53156,192.01564,138.29565,320.5409,346.1037,218.55414,110.9717,114.188065,191.90306,177.76581,116.03728,97.45302,142.15018,686.0266,564.0263,983.8996,267.52902,395.33624,266.16946,648.05084,269.7635,171.90857,302.6313,402.84668,322.86325,768.2656,753.02185,616.25696
CKS1B,12765.014,16701.217,12279.953,2131.94,2841.041,11062.791,17885.275,2206.984,18800.098,6291.3984,2690.3296,11056.984,6527.191,3197.7449,17181.957,2977.8918,2269.1533,2410.495,4367.572,17743.115,4220.0625,5963.5366,3784.69,16914.164,7609.1436,1701.5665,7008.3857,9246.464,2486.86,14400.21
LMNA,293.69263,1289.6659,486.70718,1044.8546,403.73804,1316.0674,1558.6129,1139.8032,843.0169,846.96826,989.7202,239.97066,769.2093,225.8712,1075.7373,1036.9761,257.916,1155.6267,729.82056,1722.3536,256.84344,592.85095,645.3622,498.3089,562.4367,215.08865,348.7332,348.6496,311.1443,558.55994
SH2D2A,71.10059,160.55168,125.562775,225.80788,347.34286,121.08306,115.943146,122.13061,69.00363,361.16513,324.16562,154.16013,171.96446,280.37335,156.13719,97.971214,78.02175,98.83097,303.0918,142.46593,194.45253,168.05185,209.53955,88.41057,292.6628,351.15936,531.92194,407.90088,165.38751,517.57056
NTRK1,51.645554,41.467514,80.45922,153.09149,67.629105,99.026245,87.04107,74.05189,85.51603,103.809555,232.9584,82.67792,68.463646,148.784,151.47804,91.932,45.093815,92.60095,77.11763,76.29675,61.28649,76.542946,54.492188,61.68245,241.40155,159.07663,250.65916,117.574005,77.155846,247.33295
CD84,52.29518,76.678246,61.25164,87.76493,68.19585,241.55853,44.66396,318.93692,97.02698,157.9544,65.14079,59.30603,62.586624,94.73753,321.0413,62.972244,80.36147,123.22577,45.243137,214.01628,52.397625,120.398865,85.43918,279.4776,139.32043,65.80632,57.04304,74.34848,161.18753,129.1753
CD48,30.46333,37.489445,109.43785,25.077324,38.795555,42.191628,40.219902,32.013763,212.96564,112.10945,110.71323,43.048206,89.853355,26.982435,38.89473,119.05353,97.23232,390.12292,55.93502,26.60027,29.03397,93.03114,139.6361,141.94095,167.32353,42.90457,45.83444,44.071373,176.39081,86.37004
PFDN2,1760.682,2333.1248,4683.24,585.4091,546.52435,3389.938,861.38116,1442.0273,918.544,1536.164,2698.564,2839.863,3978.6338,2549.1562,3801.0242,3696.04,3924.4753,722.3563,632.7517,4032.2668,1826.7485,554.2575,3379.0173,5021.459,2006.3954,3887.0168,1916.7097,469.0491,1509.4783,1250.7539
