Gene,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous
ENSG00000007908,-4.6469893e-08,-0.076593675,2.2619946e-07,-1.3577242e-07,-1.1615665,-1.01192775e-07,-8.058412e-08,-0.27136734,-0.22329536,1.0608592e-07,-0.7221581,-7.1490135e-08,-7.606564e-08,2.426596,-0.015406934,1.1941428e-08,-2.118e-08,-1.8306699e-07,1.5614194e-07,-6.376715e-08,-1.0298987e-07,-1.4422386e-08,0.05771264,-1.1666716e-07,1.364842e-08,-1.1341267e-07,-0.013920446,-7.158767e-08
ENSG00000007933,4.390302e-07,0.16460353,2.4643055e-06,3.3321755e-06,-26.12663,5.306742e-07,9.54829e-07,-0.14426257,2.081179,-3.7618216e-07,0.13585818,-2.0841864e-07,1.0873422e-06,0.31834075,-0.020050263,-3.346301e-07,-8.410399e-07,3.6673583e-08,1.2131125e-06,6.2884027e-07,1.8459139e-06,2.7101723e-06,23.785374,6.766785e-07,1.6217823e-06,7.0289707e-07,-0.19442716,-4.7537398e-07
ENSG00000008226,-9.270447e-06,-1.3262714,-2.8932796e-05,-2.3783216e-05,0.42858672,-1.6166492e-05,-1.34827005e-05,-0.07078051,11.7376995,-1.3324632e-05,-0.2593229,-1.4276864e-05,-2.356459e-05,0.23632948,-0.22220558,-7.5451585e-06,-7.296451e-06,-9.309702e-06,-2.416115e-05,-1.8508661e-05,-1.2116601e-05,-3.452577e-05,-9.7086525,-1.5631867e-05,-5.199453e-06,-1.0508256e-05,-0.815088,-7.276737e-06
ENSG00000008394,-0.0006459964,3.2429953,-0.001099295,-0.0009604649,239.09647,-0.00070816814,-0.0006333584,-5.7245364,-35.767075,-0.00062799844,-5.175692,-0.00063424173,-0.0009393918,-1.769655,-3.5402436,-0.0005719746,-0.000609914,-0.00057639595,-0.00074295537,-0.00066814775,-0.00061602506,-0.0010721363,-184.86592,-0.0006056072,-0.0005898167,-0.0005232279,-5.4829836,-0.0005671639
ENSG00000008517,-0.00010420104,174.72552,-0.00015689278,-0.00018871448,-183.02994,-0.000121096025,-0.00013521941,3.953593,-1.4741703,-0.00010795832,-3.966049,-0.00011184583,-0.00013889735,-29.943745,-3.8987925,-0.000115430405,-0.00011910107,-0.00010907429,-0.00013601215,-0.000112617316,-0.000107345106,-0.00015577306,-7.05408,-8.3968596e-05,-0.00012540328,-8.3310544e-05,50.68996,-0.000108785556
ENSG00000008838,6.7629385e-06,-1.5997199,1.49979505e-05,9.054349e-06,-14.677887,6.2076865e-06,4.2516685e-06,-0.2964248,1.5939164,6.5053387e-06,-0.5219189,7.227588e-07,1.9754852e-05,0.34082747,-0.017245691,6.473149e-06,4.0011982e-06,1.30223225e-05,2.776719e-06,1.094152e-05,9.920569e-06,1.1984688e-05,13.861906,7.6006218e-06,9.654261e-06,2.881055e-06,1.3163866,8.706977e-06
ENSG00000009790,-1.236906e-05,-0.48303714,-2.523101e-05,-4.1001695e-05,-3.443761,-1.49469215e-05,-1.5827112e-05,0.25838944,-0.23167233,-1.9362644e-05,-2.9424999,-2.2827251e-05,-2.2041317e-05,-3.3813057,-0.8075262,-1.7801809e-05,-1.7273527e-05,-1.8992183e-05,-1.9965888e-05,-2.4974865e-05,-1.7470518e-05,-2.1197058e-05,-1.1351465,-1.5102564e-05,-2.2912727e-05,-1.8631046e-05,12.166942,-1.5469353e-05
ENSG00000010319,3.5045244e-07,-0.45115805,4.1605588e-07,-2.5380062e-08,-0.25225577,1.8453898e-07,1.2844349e-07,-0.73931754,-0.08908448,1.6162065e-07,0.7760462,3.568059e-07,5.7837946e-07,0.47737217,0.007889423,6.866183e-08,2.9816164e-07,2.277421e-07,2.5957158e-07,2.3041264e-07,3.3010187e-07,5.9588154e-07,0.45690665,3.4953737e-07,2.2655084e-07,2.5651886e-07,-0.18640275,3.4018868e-07
ENSG00000010327,8.870824e-07,-1.1801903,6.880465e-08,3.8985914e-07,1.5026754,-1.1464521e-06,-5.9837157e-07,0.9776917,-0.28134677,6.824694e-07,0.01765158,1.946099e-06,1.8794495e-06,4.061262,0.23516506,2.5008e-07,-4.8665703e-07,-2.5540605e-06,1.0332674e-06,1.4337035e-06,8.0898536e-07,1.7362947e-06,0.1663918,1.6244485e-06,3.405395e-07,-2.6079968e-07,-5.499307,5.216853e-07
ENSG00000010626,1.6980572e-06,2.333043,4.0695595e-06,-6.449959e-07,-2.689808,-9.160617e-06,-4.591208e-06,-0.37988707,13.010719,1.8422108e-06,-0.042489238,-7.776796e-07,1.568561e-06,0.6890844,-0.0759855,2.537325e-06,7.602175e-07,6.532193e-06,-5.961404e-06,3.8631956e-06,3.4274217e-06,-9.768717e-06,-12.755969,4.098537e-06,3.9117986e-06,2.166536e-06,-0.088722296,7.2298317e-06
ENSG00000010810,-4.483575e-05,-0.5070561,-7.393106e-05,-6.4897315e-05,-3.738244,-4.1923628e-05,-4.425066e-05,-0.8315029,-0.5654979,-4.1571537e-05,-0.9192273,-4.8697686e-05,-7.3498e-05,-2.8718798,0.036643066,-4.300833e-05,-4.2261712e-05,-4.7306024e-05,-4.802061e-05,-5.387188e-05,-4.6800054e-05,-6.70331e-05,0.52000743,-4.5081426e-05,-4.4274413e-05,-3.6211353e-05,8.877714,-5.0229446e-05
ENSG00000011422,3.7622624e-06,5.3525934,-3.0154442e-06,2.00745e-05,6.1848,4.0696605e-06,3.4669674e-06,5.1676264,-3.262425,6.8792797e-06,-1.7039939,1.3423362e-05,2.904534e-06,-8.161161,0.06558311,1.0092701e-05,1.0081839e-05,1.4387985e-05,8.284736e-07,6.791875e-06,7.682183e-06,-2.9972837e-06,-1.4595582,5.7656025e-06,5.3156623e-06,7.067104e-06,-2.1835825,3.371671e-06
ENSG00000011465,-1.0306221e-05,-6.4482555,-1.4782921e-05,-2.2821097e-05,-23.397795,-1.2033181e-05,-1.2409675e-05,-21.334826,-1.7659572,-9.393721e-06,68.42693,-1.8018052e-05,-1.7280681e-05,-12.112783,-0.22089967,-1.4967569e-05,-1.3116788e-05,-1.6792546e-05,-8.793111e-06,-1.8258093e-05,-1.0342637e-05,-1.5208218e-05,1.5030713,-1.41185055e-05,-1.1001803e-05,-7.963692e-06,-4.649229,-1.3952302e-05
ENSG00000011590,-1.0145573e-05,-0.05482112,-1.6304328e-05,-2.9898976e-05,-0.089827515,-1.14680715e-05,-1.300128e-05,-0.018095912,5.005172e-05,-1.4873321e-05,-0.08702825,-2.0678319e-05,-1.3428823e-05,-0.047576956,-0.042192515,-1.7420785e-05,-1.719508e-05,-1.769134e-05,-1.2644921e-05,-2.0508209e-05,-1.3519338e-05,-1.376922e-05,-1.2884185e-05,-1.6383363e-05,-2.074753e-05,-1.7138253e-05,0.33981586,-1.3901122e-05
ENSG00000011600,0.000109123066,6.232974,0.00013202666,0.00025910235,-42.359436,9.481848e-05,0.00012139233,-21.201588,-2.4279666,0.00012815927,-17.581373,0.00019521153,0.00013668132,178.70038,5.5069056,0.00014679288,0.00015334117,0.0001906267,0.00011420756,0.00018747745,0.0001345746,0.00012278618,-3.167494,0.00013498227,0.00015077113,0.0001283444,-103.70521,0.00013320436
