gene_symbols,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous
ARID5A,4.0376115e-05,4.0353093,6.129029e-05,7.464704e-05,8.959072,3.885484e-05,4.3838067e-05,2.0544987,0.8842201,4.7116097e-05,1.246718,5.159058e-05,5.5064807e-05,4.8690653,0.8662072,4.5406498e-05,4.8614766e-05,4.8748443e-05,4.7367525e-05,5.056203e-05,4.618894e-05,5.2701518e-05,6.0752373,3.73294e-05,5.1316103e-05,4.1827505e-05,3.994226,4.43047e-05
KIAA1211L,8.0727696e-05,2.8028257,0.00013937721,0.0001183975,11.999984,7.552877e-05,7.5656666e-05,0.6690043,4.452957,8.187389e-05,0.38558552,8.24516e-05,0.00012836838,0.64838046,0.02740078,7.5773125e-05,7.612268e-05,7.778638e-05,9.165018e-05,9.062834e-05,8.489776e-05,0.0001228706,15.1948,7.315118e-05,8.431475e-05,6.8112364e-05,0.6778611,8.466055e-05
LAMB3,0.00021838569,23.996895,0.00028959097,0.00033330108,70.10242,0.00025215306,0.00024559035,1.110554,7.6573944,0.00021223069,2.020046,0.00025230818,0.00025813375,4.995479,0.99091303,0.000220627,0.0002709648,0.00024033536,0.00020409115,0.00020528691,0.00021956862,0.00024799915,50.802826,0.00019375212,0.0002206834,0.0001838605,1.0164592,0.0002185346
FLNA,0.00011355674,46.642124,0.0001586484,0.00019052289,51.006878,0.00011477674,0.00012338861,10.754015,2.9362552,0.00012015139,4.5724006,0.00013551199,0.00014546515,23.693748,4.270164,0.00012063522,0.00013233538,0.00012796956,0.00011956175,0.00013086501,0.00012439425,0.00014083738,16.116722,0.0001051181,0.00013089986,0.000114555776,12.341485,0.00011294664
SRGAP1,0.0002301104,3.590202,0.0003752567,0.0003424937,20.537388,0.00023655336,0.00023085864,1.4120064,3.5687046,0.00023154932,0.9155922,0.00022846037,0.00035653514,2.7239254,0.25667155,0.0002195168,0.00022184107,0.00022224455,0.00026331414,0.00025311095,0.0002323321,0.0003554648,22.761576,0.00020955867,0.0002390596,0.00019041289,1.4302173,0.00023747193
ANXA6,0.00010228813,5.712453,0.00018206207,0.00023861864,9.740161,0.000116531715,0.00012383914,1.2157367,0.75560004,0.0001277043,2.4753575,0.000148477,0.00015841311,4.7671447,0.74047595,0.00013415568,0.00013136907,0.000147441,0.000119100594,0.0001486778,0.00012833152,0.00013442329,2.154746,0.00011403285,0.00015339786,0.00012211573,5.9293776,0.00013766937
DTHD1,1.9743891e-05,1.0476848,2.9811863e-05,2.8342345e-05,4.608716,2.1340837e-05,1.9652263e-05,0.20405757,13.439371,1.9745303e-05,0.097200446,2.1090076e-05,2.4842393e-05,0.4932019,0.03553253,1.907184e-05,2.0345704e-05,1.8574809e-05,2.003028e-05,2.1645094e-05,1.8247296e-05,2.9607212e-05,10.629487,1.9006595e-05,1.771625e-05,1.6927828e-05,1.6819456,1.6079215e-05
NEK5,2.1824404e-05,1.5329859,2.8348404e-05,2.9183453e-05,4.970348,2.3724124e-05,2.256874e-05,0.18848488,12.577907,1.8839912e-05,0.1377726,2.2669421e-05,2.3291677e-05,0.37809378,0.068377286,2.0605243e-05,2.5365656e-05,2.116365e-05,2.0490244e-05,2.1609496e-05,1.7962882e-05,2.4709807e-05,13.625816,1.9241688e-05,1.8284538e-05,1.5884309e-05,0.55909914,1.8022476e-05
FAM110D,8.929043e-07,0.16673043,1.1787556e-06,1.8048613e-06,0.34493813,9.4906653e-07,1.023076e-06,1.7302519,0.062652074,9.5360144e-07,0.17102021,1.1429954e-06,1.0606833e-06,1.5793954,0.08302671,1.0425797e-06,1.0288259e-06,1.2883098e-06,8.2487537e-07,1.0472149e-06,9.701779e-07,1.0694414e-06,0.11427804,8.992903e-07,9.934454e-07,9.678112e-07,0.042353388,9.984414e-07
SERPINA1,0.000111556976,53.2298,0.00013324083,0.00015700648,31.271326,0.000101221645,0.000114699935,14.295883,6.7171617,0.000119389624,7.1907244,0.00013686463,0.0001348796,36.502266,3.3379476,0.0001181468,0.00013931442,0.0001370035,0.00010220327,0.000114465605,0.00013047412,0.00012659898,30.77707,0.00011292771,0.00013361649,0.00011830684,10.474976,0.00012188791
TPSB2,0.00017825756,9.595722,0.00018186859,0.00030587398,32.59479,0.00015723637,0.00018554123,4.2440667,2.334006,0.00017714383,2.3460069,0.00018233072,0.00023944212,48.07368,97.41269,0.00016357706,0.0002135591,0.00018454395,0.00016566941,0.00016558646,0.00019124577,0.00016594405,5.0616198,0.00011735173,0.00016454014,0.00016210071,18.667618,0.00013991026
LYPD2,0.0005405932,3.2610743,0.00076564995,0.00079199945,406.04346,0.00071294035,0.000670591,0.3582153,175.28462,0.00052480446,1.4365766,0.0005803166,0.0007161691,8.080591,5.3364573,0.0005178647,0.00064664055,0.0005753922,0.0005298572,0.00050561095,0.0005348294,0.0007429733,584.9268,0.0005010054,0.0005574629,0.00044070784,3.2779274,0.00051600114
C5AR1,6.977392e-05,3.5918636,0.000108525805,0.000106204185,4.1925025,6.4076085e-05,6.73383e-05,4.2991657,1.7824882,7.13117e-05,1.2934619,7.645978e-05,0.00010401339,13.836713,0.7043595,6.937881e-05,7.194914e-05,8.3530715e-05,6.888635e-05,7.936582e-05,7.8510835e-05,9.524229e-05,3.837985,6.783913e-05,7.7518605e-05,6.389736e-05,4.555401,7.915349e-05
CYP2F1,6.0696504e-05,1.3413136,8.9240864e-05,0.00010700819,80.89269,7.8248246e-05,7.599599e-05,0.03968186,19.941269,5.9609698e-05,0.07185561,6.81216e-05,8.530157e-05,1.2395573,0.3537209,5.815786e-05,7.383783e-05,5.7680467e-05,6.578301e-05,6.732351e-05,5.9686794e-05,9.08127e-05,101.68716,5.133981e-05,6.070226e-05,4.9434086e-05,0.4728269,4.7409936e-05
SPN,3.9480583e-05,2.524354,5.4391683e-05,8.815751e-05,3.3425307,3.973758e-05,4.757943e-05,2.2557044,0.23299077,4.9789483e-05,1.4130404,6.1354396e-05,4.3645025e-05,8.317288,1.4467515,5.5522163e-05,5.45215e-05,6.259679e-05,4.067735e-05,5.7551915e-05,4.64567e-05,4.1695126e-05,1.0577544,4.2647596e-05,5.520613e-05,4.9812454e-05,6.076826,4.60476e-05
GZMM,1.979134e-05,0.81961244,2.8846855e-05,3.9033388e-05,3.112907,2.1348924e-05,2.2079295e-05,0.40972334,0.30800283,2.1436452e-05,0.95757407,2.3710541e-05,1.9745343e-05,8.106894,0.38334283,2.2716858e-05,2.6544172e-05,2.7512946e-05,1.8617713e-05,2.1815222e-05,1.9861951e-05,1.9466348e-05,0.39674342,2.001597e-05,2.5133599e-05,2.0274838e-05,12.452864,2.242521e-05
MFAP5,3.9075203e-06,0.6472412,5.386177e-06,7.2582106e-06,0.7623446,4.896707e-06,4.847864e-06,0.18841226,0.1049245,3.9886363e-06,1.343344,5.168049e-06,4.502494e-06,1.0806698,0.11492081,3.9978036e-06,5.2128153e-06,6.1796623e-06,4.185471e-06,4.583686e-06,4.7887756e-06,5.1011752e-06,0.32764608,4.971088e-06,4.453374e-06,4.0312425e-06,0.4602742,4.2729666e-06
MPEG1,3.188089e-05,1.9092789,4.1428102e-05,6.478703e-05,2.3567512,3.0001418e-05,3.798003e-05,1.4405142,0.13230741,3.9462368e-05,0.22927533,5.5108187e-05,3.654203e-05,10.6547785,0.6408542,4.199632e-05,4.3674176e-05,6.168155e-05,3.1090905e-05,4.3562053e-05,3.9924213e-05,3.0569267e-05,0.7641465,3.1028412e-05,3.908204e-05,3.8242826e-05,6.671082,4.0816092e-05
SERPINB2,3.1877287e-05,1.6935339,4.4327462e-05,4.9484344e-05,13.618724,3.4832694e-05,3.6851317e-05,0.19189365,3.3973935,3.1950778e-05,0.31224447,3.9815674e-05,4.2769214e-05,1.788922,0.10395175,3.5061053e-05,3.9404444e-05,3.6983725e-05,3.2788936e-05,3.593322e-05,3.3817993e-05,4.0274415e-05,14.399645,3.1353367e-05,3.2834876e-05,2.7864082e-05,0.83416367,3.385078e-05
SERPINB13,0.00011162343,3.4310827,0.00016318007,0.0001871835,65.38377,0.0001213403,0.00012468212,0.07508342,3.0971406,0.00011636223,0.14749612,0.00012330325,0.00016328655,0.512082,0.21125309,0.00012208252,0.00012850843,0.00011167022,0.00013300573,0.00013485877,0.00011748412,0.000161618,63.389,9.6427655e-05,0.00012465371,0.000100923244,0.57997155,0.000112884925
DNAH10,2.9410367e-05,0.99125886,4.8735325e-05,4.937506e-05,1.2285929,4.4440632e-05,3.5495275e-05,0.049398936,8.3038435,2.9461708e-05,0.0670661,3.330532e-05,4.44957e-05,0.3460727,0.019033588,2.8790806e-05,3.0454607e-05,2.9474286e-05,3.6074853e-05,3.211177e-05,2.7295819e-05,5.7900146e-05,7.8211184,2.8192588e-05,2.8354409e-05,2.4319721e-05,0.26090297,2.5637313e-05
NMB,5.7637586e-05,5.5049615,8.519012e-05,8.243483e-05,17.647505,5.634911e-05,5.6358578e-05,1.7863456,2.0645082,5.7355403e-05,0.80824,6.410526e-05,7.866456e-05,4.4041104,0.6732118,5.5720233e-05,6.251052e-05,5.521994e-05,6.2950196e-05,6.449509e-05,5.9539452e-05,8.178139e-05,16.12039,5.3114367e-05,6.2386345e-05,5.34794e-05,1.4003342,5.2407606e-05
CFAP43,7.16562e-05,2.9080524,0.000112092675,0.00011120557,4.896382,7.745158e-05,6.902458e-05,0.07954104,17.511744,7.331342e-05,0.42578185,7.464601e-05,9.367991e-05,0.39767855,0.12581223,6.5753025e-05,7.298279e-05,6.530396e-05,7.740738e-05,7.585171e-05,6.4934546e-05,0.00010338393,11.647723,6.797971e-05,6.477005e-05,6.2295585e-05,1.8028619,6.37847e-05
CFD,8.57224e-05,11.885252,0.00011907275,0.0001355082,47.8546,8.313886e-05,8.871596e-05,5.0637937,4.8317547,9.066446e-05,11.414827,0.00010231054,0.000112512986,17.515953,2.4343755,9.0345166e-05,0.000101247315,0.000101154095,8.5784144e-05,0.00010197201,9.743677e-05,0.000107585496,42.747555,9.2985974e-05,0.00010571509,9.26786e-05,6.569488,9.233348e-05
C4orf22,1.1836755e-05,0.7447114,1.613536e-05,1.8178718e-05,1.4739558,1.2292419e-05,1.3002799e-05,0.04611563,5.470528,1.2015254e-05,0.048448004,1.5354517e-05,1.2237874e-05,0.16766202,0.015550139,1.5278032e-05,1.6650187e-05,1.4122349e-05,9.315027e-06,1.4901938e-05,1.319176e-05,1.2825767e-05,5.0445986,1.35874325e-05,1.4201115e-05,1.27017765e-05,0.09566637,1.2022563e-05
PRB3,5.8248497e-05,11.85524,7.256121e-05,7.5791104e-05,1.3097814,4.825036e-05,5.705731e-05,0.007990317,0.32025865,5.678218e-05,0.217908,6.393916e-05,8.943181e-05,0.54205185,0.027744967,6.274167e-05,6.9635156e-05,6.8358066e-05,5.639153e-05,7.355544e-05,6.863663e-05,7.046227e-05,12.771665,6.007252e-05,6.65298e-05,5.91683e-05,0.63200724,7.3855364e-05
FAM49A,3.305891e-05,1.9133068,5.282096e-05,7.381419e-05,2.1561525,3.28728e-05,3.7510803e-05,1.8265674,0.3362585,4.1379582e-05,0.9728795,5.3088057e-05,4.6589463e-05,5.010585,0.2160982,4.3369142e-05,4.4726246e-05,5.121409e-05,3.7612444e-05,5.088854e-05,4.1061492e-05,4.1793493e-05,1.1408263,3.9101567e-05,4.974373e-05,4.117991e-05,2.8900867,4.1650885e-05
