,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous
IDO1,0.0,-1.0831551e-10,7.8368275e-12,-3.8462086e-14,-0.00095161854,,,0.0,-1.7903367e-05,-9.742387e-10,0.0,,-9.677992e-11,5.0515137e-05,-8.0895195e-05,,0.0,-1.5771079e-11,,0.0,,3.2869313e-08,5.5353743e-05,2.5255317e-14,,-1.5921087e-14,0.0,5.279424e-12
GALNT15,0.0,0.0,7.9993815e-12,1.24357e-14,2.6519054e-12,,,0.0,0.0,1.3350206e-15,-2.8067572e-05,,-1.7903891e-14,0.0,0.0,,2.78767e-10,7.1209315e-18,,0.0,,-9.426671e-10,-8.8274064e-08,1.5285885e-13,,1.3717958e-11,0.0,6.411371e-13
NAPSA,-5.312755e-09,0.019086478,-5.314586e-12,1.3405786e-08,-0.0008168738,,,-5.9604643e-10,3.49838e-07,1.1310524e-09,3.0069139e-05,,3.469416e-09,5.1743456e-07,-0.0008056263,,6.3695937e-12,-6.371584e-10,,3.4666832e-11,,2.7454734e-09,-0.0082217455,3.0917817e-11,,2.2670717e-12,-8.442363e-12,-1.0947092e-09
AOC3,-3.1716722e-13,-3.1312552e-12,1.3267144e-11,-4.6007043e-09,-2.615278e-08,,,0.0,0.0,-1.0001266e-12,6.8996633e-06,,-3.8067544e-12,-2.4269024e-05,-3.2297107e-06,,0.0,1.30353195e-14,,0.0,,-6.533028e-11,-2.0856207e-07,-4.6560693e-11,,1.5231097e-10,-1.6812516e-12,1.5238148e-12
RAMP2,1.7855441e-11,2.0691007e-06,9.7955e-12,-5.944907e-09,-1.5813735e-06,,,7.046819e-05,-5.5753862e-05,2.6659692e-12,-4.659891e-06,,-3.8072545e-10,1.0319087e-05,-5.2174204e-05,,1.4180285e-11,3.8867107e-11,,1.3589176e-13,,9.729762e-08,0.00012673775,4.6890925e-13,,-9.186056e-11,-1.6331672e-08,-1.1183216e-10
TMEM204,2.6876488e-13,4.2393804e-08,8.922285e-13,-3.0327062e-13,1.041682e-05,,,1.535641e-05,-3.026082e-09,-1.35443e-12,9.852154e-05,,-4.6711877e-11,-2.6490954e-10,3.797478e-07,,0.0,-2.5357984e-13,,-1.1679983e-13,,-7.623521e-09,-3.0495497e-09,-1.0284414e-11,,-1.6820934e-11,0.0,-2.7349885e-12
CA6,0.0,0.0,0.0,0.0,2.8887987e-06,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,-5.599952e-07,0.0,0.0,,1.1075936e-12,0.0,0.0
MAP1B,2.8848307e-11,3.620289e-05,2.9645818e-14,-8.943308e-13,-1.7566714e-05,,,0.0,5.513922e-07,1.858717e-10,8.007875e-05,,2.1407898e-10,0.0,-1.3245477e-10,,-3.5694242e-10,-2.2217545e-15,,1.821053e-17,,3.9069087e-07,2.0241863e-05,-4.9863592e-11,,9.45685e-13,-9.536744e-10,2.0996598e-13
TOP2A,4.0774888e-12,-0.00062337867,0.0,8.389043e-10,0.0033534055,,,0.0,1.8751336e-08,-1.6851305e-10,0.0,,-1.2798736e-10,0.0,-2.3841857e-09,,3.8524336e-12,8.234219e-13,,0.0,,5.098799e-08,-0.00034245878,-2.4116636e-10,,-1.0605877e-10,-1.3351441e-08,-9.81913e-13
CHSY1,7.0846123e-13,2.639235e-06,-6.4277837e-12,8.404878e-12,-3.301024e-05,,,0.0,-8.36113e-11,8.2230683e-10,-3.7465777e-09,,-5.8519595e-12,-1.7709202e-05,3.8688413e-05,,-1.2400619e-14,7.967539e-13,,4.4094368e-17,,-1.5791536e-09,-3.7787147e-05,-6.087573e-12,,-2.670341e-10,-6.228685e-08,4.3988797e-12
MATN3,3.299397e-10,0.0,8.028941e-14,5.6187596e-15,-7.623434e-08,,,0.0,0.0,6.758954e-12,0.0,,5.504631e-15,0.0,0.0,,5.5484263e-16,0.0,,0.0,,0.0,-9.211627e-09,-7.143896e-15,,9.027351e-12,0.0,6.8711287e-15
FCRLA,0.0,0.0,0.0,-1.3211585e-09,0.0,,,0.0,0.0,7.1047745e-10,0.0,,-1.9867912e-16,1.3245477e-10,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,4.6505073e-16,0.0
RAMP1,8.633894e-14,9.214133e-07,0.0,-1.8266551e-13,5.1130377e-07,,,0.0,0.00011671392,1.0631409e-09,-4.186111e-05,,1.9631975e-10,-1.12505095e-05,2.1192763e-09,,9.7698846e-12,5.6260098e-14,,4.747845e-13,,-2.5018258e-08,0.0002056791,1.2168797e-12,,-1.7034683e-10,-3.8675666e-06,1.02547934e-13
PTPRE,5.108414e-12,0.00014612016,-9.859707e-12,-1.9361281e-09,2.1541848e-05,,,3.110785e-06,8.1739515e-08,1.01818785e-08,5.4373913e-06,,-9.438986e-11,-9.5699136e-08,5.7455694e-05,,1.1541126e-11,-2.1711459e-11,,-1.4472021e-13,,-6.3208745e-08,-0.00011222569,-3.5409864e-13,,-3.1952179e-09,-2.4998797e-06,1.4838988e-11
SERPINF1,1.2469233e-09,-0.00064305024,5.2847816e-11,6.5403183e-10,0.0034692807,,,0.0,0.00018170822,3.522612e-08,-0.00017875546,,1.763541e-11,-0.00013300803,3.1503703e-06,,1.4568294e-10,-1.579226e-09,,5.060763e-15,,1.5967536e-06,-0.0026730679,8.585404e-12,,-4.4244967e-08,2.9565763e-08,-3.4292122e-10
JCHAIN,-2.9925148e-10,3.4221634e-05,0.0,1.7708862e-07,-6.837783e-05,,,0.0,-1.9272603e-08,-2.8383994e-08,7.959357e-05,,2.3122344e-11,0.0,-0.00016753413,,3.4005776e-12,4.227858e-09,,2.2736197e-13,,5.5272274e-08,-1.1882064e-05,-9.928115e-12,,3.06354e-11,9.1135504e-08,4.4482577e-12
CLEC10A,-1.2619222e-09,0.0,-1.6350105e-12,7.228418e-10,0.0,,,0.0,-4.0633737e-15,-6.4388983e-10,0.0,,-1.6910046e-13,9.947353e-08,-1.9497341e-07,,-5.250981e-13,-3.7837238e-12,,0.0,,0.0,-1.3644429e-11,1.6336432e-12,,-2.4009328e-12,0.0,0.0
HSPA12B,3.0899816e-12,0.0,5.0068365e-12,6.396171e-10,0.0,,,0.0,0.0,-6.421397e-14,6.1503476e-07,,-2.2676683e-10,0.0,-1.6298559e-07,,-3.0023504e-15,5.176434e-13,,0.0,,0.0,-6.973488e-05,1.9548534e-13,,0.0,0.0,-2.0380224e-11
NES,3.3915696e-12,1.0744483e-06,6.7481346e-12,5.899252e-10,-1.5021686e-07,,,0.0,0.0,9.736794e-14,-4.9386704e-09,,2.5227091e-11,4.6756533e-08,-3.9739464e-10,,6.8364564e-14,0.0,,0.0,,3.5236036e-10,1.0424402e-13,-8.98029e-14,,4.820803e-13,0.0,-5.775243e-12
SYT11,-1.4859381e-15,1.9652396e-05,-8.751601e-12,-2.52114e-12,-1.838136e-05,,,0.0,0.0,-3.6242027e-11,1.7029898e-10,,-6.0930414e-12,-1.8543668e-09,-2.9140048e-09,,-1.849135e-14,-4.1709932e-13,,-2.5197958e-14,,-1.7392236e-07,-1.0149046e-07,-4.73876e-14,,-1.779718e-18,-1.1086464e-08,-1.3323502e-12
ALOX5AP,3.890265e-09,-0.0006640622,4.817501e-10,-6.541275e-09,0.00011581952,,,-3.5219724e-05,2.06117e-05,-4.8484353e-08,-0.0007819149,,-7.4978634e-11,0.00019554434,0.008889573,,-4.6221436e-11,6.967135e-09,,-4.2279604e-12,,-1.5005682e-09,0.0001773192,1.6872636e-13,,3.5588622e-11,9.4399875e-06,1.3880631e-10
CHI3L1,-2.3878954e-11,0.00043126315,0.0,1.6137619e-11,-3.2271593e-05,,,0.0,-9.498638e-12,8.789862e-12,4.9557006e-08,,1.5660882e-10,0.0,-3.0049152e-05,,4.4422386e-11,-2.6762555e-12,,1.1617118e-16,,1.4613941e-08,-0.00043145666,1.2916402e-15,,2.69613e-09,0.0,8.389299e-11
CHIT1,0.0,0.00041423374,-3.2727765e-11,2.4631333e-10,0.0,,,0.0,1.5336734e-07,-3.0582236e-12,0.0,,-3.9628257e-14,9.324438e-05,-0.001295468,,5.5734497e-17,-1.4498466e-14,,0.0,,3.785215e-11,-5.3042714e-07,0.0,,0.0,0.0,1.4171192e-11
POSTN,-8.8459866e-14,0.0,1.4075806e-11,-3.9807577e-10,4.7316535e-05,,,0.0,-3.704658e-08,1.0322328e-11,-3.4059797e-10,,7.149511e-11,-6.2849786e-08,3.1773183e-05,,-5.686901e-13,7.036616e-13,,0.0,,4.447797e-07,-0.00031949885,5.350902e-16,,-6.566566e-09,0.0,4.2239462e-13
STOML3,4.6206928e-14,-8.025857e-18,0.0,3.953023e-12,-2.3663044e-07,,,0.0,-9.545913e-08,-2.4704505e-12,0.0,,-3.4109776e-16,0.0,1.8144813e-06,,-1.0286669e-13,-1.953741e-16,,0.0,,-6.125777e-11,1.9691595e-05,0.0,,-2.6787329e-12,0.0,-3.215825e-17
BEX1,1.0499385e-15,0.0,6.9728405e-09,4.85387e-15,8.702278e-09,,,0.0,0.0,1.2089599e-10,0.0,,3.065412e-11,1.5894572e-09,-1.0742492e-05,,-2.857123e-13,5.1577466e-14,,0.0,,-3.1985567e-07,1.4686603e-17,1.0787208e-14,,1.0950385e-11,-8.461654e-06,9.8222384e-17
MYH11,1.35728555e-11,2.0116568e-08,-6.2570366e-12,-3.9358705e-10,1.1920929e-09,,,0.0,0.0,-9.2693755e-11,-1.8233146e-05,,-1.0481839e-14,1.3174613e-06,0.0,,-6.3801845e-13,-2.7991544e-14,,1.7936207e-14,,2.194379e-08,9.477053e-06,-1.6174698e-10,,4.4321147e-11,0.0,1.340372e-13
GIMAP6,-3.4674934e-12,-5.5134297e-09,-5.2860775e-11,3.5410758e-10,1.192093e-10,,,8.64449e-06,1.6933951e-10,-2.0806934e-10,-3.1650066e-07,,-6.231863e-11,1.4517042e-07,-4.113834e-05,,1.2108855e-14,1.2963168e-13,,5.3596564e-13,,6.3502373e-15,0.0,1.794796e-13,,-1.0880984e-12,-2.861023e-09,-6.527447e-12
GIMAP4,7.679396e-13,4.4138812e-07,4.6757785e-11,-1.96468e-09,-1.7261485e-05,,,5.188286e-06,6.643626e-08,9.772828e-13,1.7773744e-05,,-5.450091e-11,1.01923945e-07,-0.00022363647,,-1.437557e-14,-3.0273744e-12,,-2.7743555e-13,,0.0,-8.141243e-06,-9.511503e-13,,5.2896445e-15,2.3218395e-06,9.8439815e-12
NTS,-1.3997708e-14,3.2898806e-06,0.0,-1.564163e-10,0.0015078065,,,0.0,0.000116700896,2.2217024e-09,-6.388153e-05,,6.371375e-11,0.0,3.284878e-08,,0.0,3.1075847e-14,,0.0,,1.3389017e-08,-0.0008177047,0.0,,4.5671966e-11,-5.568862e-07,5.3574292e-14
LRRIQ1,9.611632e-12,-5.82993e-06,4.4421417e-10,-2.108138e-13,-8.018422e-05,,,0.0,6.1987016e-06,-2.8560437e-10,0.0,,2.8238135e-14,0.0,0.0,,0.0,1.2007798e-09,,-3.746786e-16,,-1.2084957e-09,-0.00020737483,1.5276141e-10,,7.274602e-11,0.0,2.7128695e-14
SFTPD,-1.1468462e-09,0.0012051912,7.330578e-14,3.917714e-09,0.00017404054,,,0.0,-1.1845143e-08,6.224632e-11,0.0001681722,,5.6555477e-10,-3.973643e-10,-0.000117921205,,1.2304716e-11,-1.2843915e-10,,-7.9214304e-13,,-1.0279194e-08,-0.0028810417,-3.5323012e-11,,-1.8036416e-11,-6.8698528e-06,5.3310304e-11
DYDC2,0.0,-3.2770027e-17,0.0,0.0,4.1545034e-05,,,0.0,4.0488064e-07,-7.8994135e-13,0.0,,0.0,0.0,0.0,,0.0,-3.1887845e-12,,-3.6422116e-15,,1.592659e-09,2.6351297e-05,0.0,,-6.6237106e-11,0.0,0.0
SPINK5,-9.21417e-12,-0.00020010122,2.6049717e-14,1.4917002e-11,-0.0013748945,,,0.0,1.2839398e-07,-1.3975242e-12,-6.96889e-05,,1.1280221e-09,7.31163e-17,0.0,,0.0,4.4298666e-12,,0.0,,1.0943097e-08,0.00019278446,-2.4678742e-14,,-4.973279e-10,0.0,4.853728e-13
CA1,3.4484413e-13,-1.3839358e-05,0.0,0.0,1.0967255e-08,,,0.0,-1.2837923e-09,0.0,0.0,,1.4151424e-16,0.0,0.0,,5.0563286e-12,4.434861e-14,,0.0,,0.0,-1.600027e-07,0.0,,2.0231255e-15,0.0,-2.3200504e-17
LYVE1,3.033187e-11,2.5101005e-07,-1.4332781e-11,-8.217767e-15,-1.8077493e-06,,,6.2441827e-06,-4.9019666e-10,-1.3646956e-13,0.0,,-8.998759e-11,-5.5631e-09,-0.00021138064,,-1.0525022e-13,1.84226e-12,,0.0,,4.855859e-09,2.5669066e-05,1.8963458e-13,,4.7576026e-11,0.0,7.622009e-12
