gene_symbols,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous
HYAL2,1.6026075e-10,4.507909e-06,3.3100686e-10,4.1788453e-10,0.00017606726,1.5185662e-10,6.426548e-11,1.3955857e-06,1.1367468e-05,7.740417e-10,1.9866047e-05,1.2178942e-09,9.805706e-10,2.0202784e-05,2.0457135e-05,9.912807e-09,1.4655322e-11,3.489359e-12,1.8612444e-14,5.037433e-14,5.83225e-12,2.617454e-07,0.00030253656,1.3477931e-11,1.1883921e-11,1.2656974e-11,1.722575e-08,2.430129e-10
RASGRP2,2.7595337e-10,9.1063066e-07,4.7194988e-11,1.9290848e-08,6.021278e-06,1.528071e-11,2.9365878e-15,2.5843035e-13,1.3000595e-05,2.641732e-09,8.8054885e-06,0.0,6.287738e-11,3.2131538e-06,1.9372574e-05,1.3727394e-09,2.9514766e-11,5.9309516e-11,0.0,7.310045e-12,4.6241497e-10,2.4357725e-08,8.391286e-06,1.04485906e-10,1.8607872e-10,5.870137e-15,1.3593119e-05,3.7323317e-12
ADGRF5,5.185674e-10,0.0001776051,1.5516058e-10,2.8771663e-09,0.0013828404,9.380564e-12,1.079675e-11,6.173467e-06,4.763411e-05,2.686457e-11,2.1987674e-08,3.8982395e-09,8.138893e-10,2.4551617e-05,1.2236345e-06,5.852205e-10,1.5425114e-11,4.8277733e-11,0.0,2.479229e-16,2.6247133e-09,5.182663e-07,0.00032405142,3.8589215e-11,7.145522e-15,1.4800996e-12,0.0,3.3334308e-11
CLEC2D,1.4678093e-10,7.4599056e-11,1.0413274e-12,2.3581991e-08,2.675857e-05,1.4721751e-12,9.894098e-14,0.0,4.2418105e-06,1.905311e-09,1.6125661e-07,0.0,7.0260755e-12,9.456517e-07,1.8987335e-05,4.656477e-13,1.3598044e-12,3.62103e-12,0.0,2.8879876e-11,2.691277e-11,7.510348e-09,4.4621644e-05,8.222327e-12,4.0154555e-12,3.4277144e-11,0.0001856991,4.7895894e-13
MAOB,1.9982624e-13,7.97352e-07,5.99725e-16,4.821129e-15,3.0114501e-05,1.8938191e-11,0.0,0.0,3.850256e-05,3.0761212e-13,5.332831e-09,0.0,7.4212294e-13,8.179868e-07,0.0001141674,8.196582e-10,2.1543047e-11,3.7838114e-12,0.0,0.0,4.5003866e-16,4.3803743e-07,4.7557864e-05,2.0430797e-13,2.4982474e-13,2.8365734e-12,2.9969222e-15,6.2529127e-12
RORA,3.1909456e-10,1.766556e-06,1.4259503e-11,6.6395787e-09,0.00015934088,3.7205894e-13,2.0405737e-13,4.895643e-13,1.0644153e-05,9.457733e-11,3.2115335e-05,8.2934446e-13,2.3855487e-11,2.4260482e-05,7.726917e-06,7.98727e-10,1.7211897e-11,2.5752388e-11,0.0,3.750218e-11,1.2470395e-11,2.878411e-07,0.00029963284,5.179851e-12,3.930349e-09,1.3677558e-11,0.00011154388,3.6242725e-12
TGFBR3,3.226427e-11,7.4599055e-10,7.727879e-11,2.2169025e-11,1.3257975e-05,4.882995e-12,7.8213586e-13,1.4433068e-09,1.2395665e-06,3.9282976e-11,9.870497e-06,5.567451e-10,1.9137827e-10,5.474024e-07,6.3815127e-09,4.279028e-10,4.3287466e-12,6.7253945e-12,0.0,6.678402e-14,9.977266e-13,7.21575e-08,4.320684e-06,4.73607e-12,1.4058521e-10,9.269597e-12,2.945168e-08,2.6227959e-11
SCT,0.0,0.0,2.755807e-13,3.369026e-09,0.0,0.0,4.706853e-14,0.0,0.0,9.498716e-09,1.312697e-09,0.0,1.6698478e-16,0.0,0.0,0.0,1.6084048e-15,1.3836592e-11,0.0,0.0,3.3531538e-16,2.2217487e-11,0.0,8.6300894e-14,0.0,0.0,7.2091815e-08,0.0
FSTL3,4.5405574e-10,1.5665802e-09,2.0289426e-12,9.999726e-12,0.00016774835,1.8554253e-12,3.9411286e-13,8.6592705e-10,3.9601923e-06,1.1521555e-09,2.0071957e-07,1.2610696e-09,4.768592e-10,2.3841858e-08,1.7417113e-08,1.9674786e-09,3.1007766e-10,1.466135e-11,0.0,7.0950766e-14,2.738704e-12,9.266551e-08,0.00021755483,4.3924635e-11,2.1717501e-11,5.8995604e-12,4.8636794e-06,4.6554267e-12
MGAT4A,8.389901e-11,3.1980014e-06,6.4186406e-11,1.4853321e-09,0.00010926985,1.7143634e-11,9.53295e-12,8.471653e-08,1.3582648e-05,2.2831887e-09,2.6405718e-07,0.0,3.253979e-11,9.606944e-07,7.252917e-05,2.5095253e-09,1.3385789e-11,9.3287565e-12,0.0,4.5667907e-14,4.765572e-11,1.230724e-07,0.00010404064,1.9634511e-11,5.271749e-09,2.1968435e-10,5.224737e-05,1.5823131e-11
LMCD1,1.6940213e-10,2.3973192e-07,2.0382942e-11,3.3702061e-09,2.9813304e-05,1.1828995e-10,5.284703e-11,1.1877633e-07,3.703175e-05,1.4756256e-09,1.60027e-05,1.4297483e-09,8.2903524e-11,0.0,1.4414327e-07,7.5842355e-10,2.402726e-10,7.5875173e-13,0.0,0.0,3.2563582e-10,6.367991e-08,7.5714204e-05,2.328667e-11,3.1672969e-09,4.688044e-10,2.732277e-07,1.0620702e-11
CDH19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2459637e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.63017e-16,0.0,4.7052693e-15,0.0,8.8448624e-14,0.0,2.0057301e-13
LIMS2,3.872636e-10,9.30648e-08,1.554215e-10,7.816875e-11,1.1091891e-05,1.2053706e-11,1.1980878e-11,4.9457403e-09,4.4545874e-07,2.2493983e-10,1.2462007e-06,1.7988934e-10,1.1540253e-09,1.6703663e-05,1.86122e-05,1.9859114e-09,8.1355306e-13,2.4323173e-13,0.0,1.3175917e-13,4.702364e-13,5.9919394e-09,2.7759731e-06,9.802736e-12,1.6653781e-16,4.4040427e-12,0.0,1.9872772e-11
FCGR2B,1.06675745e-11,0.0002123813,8.646902e-11,1.457491e-08,1.2601445e-10,2.9184993e-17,2.3811224e-11,0.0,2.1853328e-16,4.2383532e-09,1.3014057e-05,0.0,6.69387e-14,1.9656288e-07,0.00014549577,8.5254437e-10,7.469747e-11,4.2810772e-12,0.0,1.4178306e-14,1.4528119e-11,0.0,0.0,1.07345084e-10,0.0,1.7834031e-11,1.2604072e-05,4.06917e-13
STK10,3.3839516e-13,7.4599056e-11,2.4764187e-11,3.1976262e-09,4.983309e-05,4.1421653e-12,1.70491e-13,8.1645316e-11,8.127874e-06,1.4492162e-10,9.1888786e-08,1.9747714e-13,1.06077655e-11,3.3162172e-07,8.3286046e-05,1.1053861e-09,9.476553e-12,2.1396641e-11,9.998567e-15,2.2591993e-12,4.239445e-12,3.8160632e-08,5.7671903e-05,2.5390579e-11,1.3842944e-08,6.885528e-11,2.5177631e-05,3.5832747e-12
ACAP1,2.2867237e-09,1.6814627e-07,4.7951075e-13,2.0515703e-08,5.638582e-05,1.1846938e-14,0.0,0.0,7.0516553e-06,4.4402015e-09,2.8276896e-05,0.0,1.931473e-11,2.7119679e-05,3.4799694e-05,1.0375586e-09,2.9306828e-12,1.5657626e-11,0.0,7.748053e-12,1.8718631e-12,4.515366e-08,8.6299995e-05,7.1825003e-12,3.0887812e-14,9.917739e-11,0.00013529892,1.8896098e-12
FERMT2,7.894645e-11,1.6462142e-06,3.9754e-11,1.8179236e-10,7.1039336e-05,1.2366744e-11,1.6464352e-12,7.818588e-10,2.5509107e-05,3.5674005e-11,1.2147859e-05,3.125494e-10,1.4779636e-10,2.2020604e-08,1.3197016e-06,2.1475355e-09,3.7068928e-11,7.3610016e-12,0.0,7.086546e-15,2.5668803e-10,7.74211e-08,6.855032e-05,2.6643824e-11,6.0707474e-11,2.4725883e-11,0.0,2.4207233e-11
DHRS9,5.8433163e-12,0.0,2.1062425e-12,1.8046112e-10,0.000745842,0.0,0.0,0.0,0.00017678083,6.637113e-11,3.9897782e-07,0.0,4.707417e-13,6.0006123e-06,2.642215e-06,1.9920032e-09,1.5965425e-12,1.06339096e-11,2.6708778e-15,0.0,8.55355e-14,2.6633197e-08,0.0011530268,3.313586e-12,7.481678e-09,6.2574895e-10,9.255171e-06,7.479515e-15
PTGS2,5.257329e-10,1.4765773e-05,1.1520348e-11,1.7735207e-09,0.00010406088,5.4995973e-12,4.6445838e-12,0.0,8.644017e-05,2.5109947e-11,1.5137037e-08,5.4629865e-09,2.4631028e-11,8.649137e-07,0.0003351167,4.1893277e-11,1.3899404e-12,2.0081188e-11,0.0,7.1695976e-16,5.4256655e-10,2.1839732e-08,0.0004370314,1.655318e-11,2.8384204e-09,4.6752946e-10,1.7082826e-05,6.3345123e-12
TBX21,4.6965088e-11,0.0,0.0,6.964416e-10,0.0,0.0,0.0,0.0,0.0,3.1524807e-13,0.0,0.0,4.2596146e-13,1.2781885e-08,2.6315516e-10,0.0,0.0,4.477489e-14,0.0,1.1878668e-11,2.3988127e-12,0.0,0.0,6.169965e-14,2.884725e-10,8.444245e-14,2.086997e-06,5.268301e-16
NOTCH3,2.4563152e-10,9.287582e-08,0.0,5.9389627e-10,0.00039268442,1.4247867e-13,0.0,7.476355e-12,1.9220954e-05,3.5018421e-10,1.484696e-06,5.5502936e-10,2.2518988e-13,0.0,8.806816e-07,2.513558e-10,7.08384e-13,4.995251e-12,0.0,2.1783168e-12,5.9411087e-12,3.314829e-08,0.0006938713,6.870886e-10,8.2352586e-10,2.069319e-11,4.8874617e-06,6.118936e-14
ATP2A3,9.5464046e-11,0.0,1.788744e-11,3.6631647e-09,0.00035680825,7.385628e-15,6.611159e-15,0.0,6.0856768e-05,1.6717424e-09,3.6205822e-07,1.6983264e-11,3.5458313e-11,2.0530488e-09,0.00012990831,5.076164e-10,1.3257492e-10,8.051656e-13,1.2287805e-14,2.5989649e-12,1.13080253e-10,3.7623195e-07,0.00019151256,2.7359172e-13,6.598877e-09,3.3654024e-09,1.8762737e-05,7.6796707e-13
IPCEF1,3.752698e-10,6.5270444e-07,2.5695054e-14,4.1864706e-10,4.9421396e-05,1.2874313e-13,1.4969517e-14,0.0,3.7754386e-08,3.1062804e-12,0.0,0.0,1.8292874e-12,1.1653967e-05,1.613799e-07,0.0,2.2776896e-15,3.79965e-13,1.60199e-14,8.181762e-14,3.072427e-12,6.881138e-08,2.0028856e-05,5.902958e-14,4.107406e-11,1.0069307e-11,9.6090735e-06,1.252296e-12
TXK,1.9183972e-10,2.2133369e-10,1.2138601e-11,1.543306e-09,4.74701e-10,3.8896404e-16,0.0,0.0,6.700269e-07,3.5734995e-11,0.0,8.3814716e-10,1.2998389e-11,0.0,5.796083e-05,0.0,1.883578e-12,1.180345e-12,0.0,3.5220906e-11,4.8538157e-12,4.023021e-08,1.6827365e-05,6.8859676e-16,0.0,1.6707998e-12,3.6990642e-07,1.5409916e-12
FSCN1,7.247997e-11,7.195079e-08,5.2911484e-11,5.4246435e-10,0.000115372495,8.898885e-12,7.7830293e-13,3.177577e-05,1.3048784e-06,4.8022155e-09,1.3254137e-07,1.0116053e-11,3.9338377e-10,1.6556846e-09,1.7218211e-06,0.0,3.124067e-10,8.624419e-12,0.0,1.225399e-16,2.0126587e-12,1.5277426e-07,0.00014096705,1.435976e-11,8.804316e-12,5.884722e-10,3.828615e-06,5.7870143e-11
