gene_symbols,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous,unlabeled
ABCC8,0.0001218077763184,0.0011201331506326,0.0266751794811407,0.0002747943257635,3.311302823496978e-05,0.0049074269708846,0.0,0.0436148818369369,0.0001755378914882,0.0,0.0027179817822714,0.0,0.0023464959738654,0.0003684449057771,0.0001312435643102,0.0,0.0055845063716774,0.0001363779287254,0.0,0.0,0.0005180295541645,0.0022290177932373,9.885730640718918e-05,0.0016270608344764,0.0,0.0001621535485562,6.813412510160099e-05,0.0906299504528268,0.0139689601093277
CX3CL1,0.0115494287548604,0.0075779405428219,0.360954801797738,0.0059754068960371,0.1815004662056681,0.275047224680636,0.8678255346560044,0.8144549781953521,0.1124016447855423,0.003777593851714,0.015011666714314,0.1710296330943839,0.0126576489272493,0.0032341293300202,0.0068273883148306,0.0239455538200957,0.0117921649250494,0.0058514965140711,0.0,0.0037715534647594,0.0062332329343387,0.0343815967145784,0.1215592643143216,0.0657615775271139,0.0272629406732527,0.1341438675101262,0.0072616767029221,0.2075891823123601,0.1125030189968178
TNFRSF12A,0.9932860421628296,0.4223856801866614,0.0895544326149886,0.0307157141324903,0.2918407198805727,0.1764952098419713,0.4808234086132046,0.2363673851833619,0.1010221733967669,0.106037643340385,0.3498608083676335,1.6017271791276606,0.1322518831858417,0.0946542204128813,0.192922525233476,0.1827079751217132,0.5151728258908668,0.0524755838553481,0.0,0.0378159691192732,0.2003624325261325,0.1248331404286751,0.153698990621885,0.4671885915912243,0.1979992885787065,0.2311903484686342,0.0367454564711392,0.0664651772766878,0.1159257895193979
PRSS21,0.0020416875260427,0.0035192067224949,0.0164939814284822,0.0141243233914736,0.0292690351788134,0.0,0.0,0.0017204189251781,0.0020516835351647,0.0118426859116578,0.00216867665998,0.0,0.0039598187423615,0.1364029240963821,0.0272352357470113,0.0239455538200957,0.0095652365082933,0.0171062281548123,0.0,0.0134371974614619,0.0476760098923261,0.0059600880609719,0.0054510587821717,0.0027254764613586,0.0012233897892162,0.0889842104003518,0.0086041693663024,0.0130238931516707,0.0093500027361415
PROM1,0.0023854871605863,0.0011290306361329,0.0003089882869978,0.0096683040316485,0.0140184813979383,0.0004983895652249,0.0,0.0012684028885386,0.7283074973609411,0.0016880952877012,0.0023220599338739,0.0,0.0008575509961725,0.0006636304509683,0.0452427865628709,0.3841070338456388,0.0020653737143098,0.0047749298813907,0.0,0.0010725283500628,0.0048579509111545,0.1871829261050308,0.1997833458988895,0.0023261837287638,0.0388231763744294,0.3849485249786016,0.0115646217544593,0.0054551033973465,0.0022517117883519
NOS2,0.0002182576538684,0.0001046900369483,0.0005390009097198,0.0003832585495586,0.0531499149197211,0.0045300889536861,0.0050342412870697,0.0245599232360573,0.0145354112328963,0.0,0.0003785480479608,0.0,0.0007086888175607,6.982777728050367e-05,0.0006851855848318,0.0,0.0020719192190443,0.0003122499649573,0.0,0.0001918056207226,0.0001400778236131,0.0575669433541388,0.0859763128471018,0.0005011327969327,0.0146228369062475,0.0036630222412581,0.0010836906560278,0.0005395223977257,0.001277904327313
DNAH9,0.0026585723491664,0.0022802244743239,0.0018131858991266,0.0045692033254169,0.007136607116563,0.0,0.0,0.0011890582381166,0.6962165306141403,0.0022357890059763,0.0040586709049003,0.0225034970582452,0.0024971738073409,0.0007282171571276,0.0031694527491414,0.3422725821433522,0.0002371739648174,0.0036340920194894,0.0,0.0002538873664939,0.0017632709345266,0.0580979336622771,0.0222039284755742,0.0016511102381567,0.0153607185274842,0.0073208890868409,0.0065176388336765,0.0046456396599258,0.0023615826302094
MATK,0.0022389375269809,0.0026529429149963,0.0149631977774559,0.0289913573616781,0.0010463147011129,0.0058023981404438,0.0,0.0842682904498218,0.0062528341163413,0.0537763374226282,0.0040274269190706,0.0119462881297143,0.0095287251353848,0.0491851795515235,0.2642527168727521,0.0,0.0033442722340909,0.0241325287422216,0.0,0.7087333230084257,0.1008795877664842,0.0022036788870497,0.000788729266214,0.005078839601802,0.000323346130805,0.0004485984689814,0.2047209507544689,0.0047136307738562,0.2107769044089003
CD79B,0.0010432931737054,0.0015910350518029,0.0283935344670141,0.6910323581364137,0.0008430702305803,0.2205601215204233,0.028703042429371,0.0101529127884106,0.0011636936378481,0.0281463266400716,0.0060401923259694,0.0,0.0052049798105101,0.0042160569897852,0.0560604639696457,0.0,0.0010007328816281,0.0678580964888033,0.0,0.1777383640479768,0.022323868154543,0.0031332599065922,0.000425272463077,0.0038742035895565,0.0001349242435846,0.0009267292551501,0.0531526298241441,0.0915452146607797,0.099770348283443
TKTL1,0.0,0.0001301899847479,0.0,0.0024950353315861,0.0001451679297027,0.0,0.0,0.0006652150121842,0.0004685155186299,0.0018253434890752,0.0007939500099367,0.0,0.0001383361251505,0.0011533981614984,0.00183621269926,0.0,0.0,0.0098772154745649,0.0,0.1001223359153449,0.0082865778510404,0.0,0.0003264467759846,0.0016361601078686,0.0,0.0001774849655569,0.0077001357440677,0.0003985199022292,0.0236108814727654
