gene_symbols,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous
EOMES,-2.6173304e-06,0.4262142,-1.7099424e-06,-1.3857064e-06,-0.33913192,-1.7428679e-06,-2.7705019e-06,-0.20591478,0.291335,-1.7140867e-06,0.23070979,-9.415013e-07,-2.7740803e-06,2.4666836,-0.12507468,-2.5188747e-06,-2.227727e-06,-4.8235424e-06,-3.2561504e-06,-2.1478418e-06,-3.376756e-06,-1.5182666e-06,-0.02570108,-2.3740117e-06,-2.0210086e-06,-2.353574e-06,-2.7190754,-3.159221e-06
TRAT1,-7.5944836e-06,-2.3999884,-7.3797673e-06,-1.2244907e-05,1.2548704,-5.8725523e-06,-8.232112e-06,0.9800292,-0.18701445,-6.6631665e-06,0.7924132,-8.352714e-06,-9.638348e-06,5.606653,-0.3503208,-8.124791e-06,-1.07178075e-05,-1.05648505e-05,-1.1843548e-05,-1.0710445e-05,-8.454371e-06,-6.6662583e-06,-0.2459762,-7.096407e-06,-8.464171e-06,-7.750261e-06,-5.450504,-9.244675e-06
FBLN2,-1.5478217e-06,8.843312,-2.8156137e-06,-2.6960831e-06,-4.8517604,-1.2608348e-06,-1.6180833e-06,2.7443612,1.3964924,-2.4965234e-06,-23.230883,-1.2066515e-06,-1.5200508e-06,10.885519,-0.22259502,-3.088806e-06,-1.3483904e-06,-6.40017e-06,-2.8696143e-06,-1.7592134e-06,-2.0532555e-06,-1.909027e-06,-1.2808188,-2.987429e-06,-2.254666e-06,-8.51718e-07,5.71641,-3.9804004e-06
MNDA,-5.5654964e-06,27.77538,-4.6542364e-06,9.845734e-06,7.8862033,-6.444158e-06,-6.1705305e-06,35.198936,7.183757,-1.8322704e-05,19.34995,-9.424805e-06,-1.0202323e-05,-133.95242,-1.4303988,-5.7344137e-06,-1.4412421e-05,-9.522159e-06,4.459719e-06,-6.1316496e-06,-1.1072927e-05,-2.1046244e-05,9.037051,-1.7671668e-05,-1.0445809e-05,-9.428547e-06,28.95166,-6.1841874e-06
PYHIN1,2.839404e-06,-0.5738477,1.3032949e-06,7.7940484e-07,-0.4965789,5.0162873e-07,1.3300993e-06,0.66494375,-0.014245138,2.8253528e-06,0.54524475,1.921794e-06,4.262475e-06,4.9582863,-0.2551575,2.3832235e-06,3.621363e-06,3.017106e-07,4.8383285e-08,6.377341e-07,3.6189363e-06,1.0421087e-06,0.051173538,2.307259e-06,4.160228e-06,4.5565853e-06,-4.879863,2.7678154e-06
EFHB,-9.1558495e-06,1.403464,-1.3555657e-05,-9.867595e-06,20.328165,-5.85194e-06,-5.659606e-06,2.2425554,-49.19167,-7.359567e-06,1.0513482,-8.117317e-06,-1.6592738e-05,3.13081,0.17007835,-7.1833724e-06,-8.422348e-06,-8.790456e-06,-6.8366526e-06,-1.0598485e-05,-8.989515e-06,-1.1086145e-05,12.680296,-8.427868e-06,-8.187445e-06,-7.506001e-06,8.185129,-1.132994e-05
CTLA4,2.2879417e-06,-0.8712887,5.2783876e-06,3.2396413e-06,0.9219777,1.725488e-06,2.3787786e-06,-0.107262224,-0.116022475,2.1187643e-06,-0.06786568,2.5283057e-06,2.3750763e-06,1.7258046,0.08252428,2.688129e-06,1.8178331e-06,4.095113e-06,3.3590907e-06,4.320824e-06,3.1193556e-06,3.5941132e-06,-0.36123863,4.2861743e-06,2.3272023e-06,2.5682518e-06,-1.2066873,2.9639634e-06
ICOS,-1.779247e-05,-1.5886706,-2.1172797e-05,-3.025229e-05,1.4425184,-1.5816979e-05,-1.6885615e-05,1.1371467,0.0047241785,-1.7274164e-05,-0.3512454,-1.6805168e-05,-1.786517e-05,4.994749,-0.14447251,-2.2221197e-05,-2.7611448e-05,-1.9868163e-05,-1.7941336e-05,-2.152084e-05,-1.4336704e-05,-1.001869e-05,-0.28185248,-1.3629217e-05,-2.5802648e-05,-1.8790848e-05,-5.2125325,-2.2047912e-05
CADPS,4.4906956e-05,0.14837018,7.593166e-05,8.174103e-05,-0.25544423,4.4112312e-05,4.327452e-05,-0.41243476,0.020623494,4.7221383e-05,0.22617829,4.828301e-05,8.939163e-05,-0.64615136,1.1736234,4.785875e-05,4.2182604e-05,5.3717118e-05,4.8715632e-05,6.0528168e-05,5.2270043e-05,6.649271e-05,-0.08975621,4.1049847e-05,5.392883e-05,3.7387894e-05,-0.16604494,5.7122204e-05
ADAMTS9,-1.8915284e-07,-14.150802,2.599513e-06,4.500003e-06,0.5984915,9.94414e-07,1.4228551e-06,-5.3913093,-0.28313667,-5.192881e-07,-0.2908196,2.5451243e-06,1.9040632e-06,17.229479,-0.18896198,1.8107632e-07,1.5994138e-06,7.79128e-07,1.7066325e-06,3.6961014e-06,4.808953e-07,2.7582819e-06,0.3460852,2.5734983e-06,1.008424e-06,1.8978103e-06,2.130941,1.2061313e-06
