features,AT1,AT2,Arterial EC,B cell lineage,Basal,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,Lymphatic EC,Macrophages,Mast cells,Mesothelium,Monocytes,Non-T/B cells,Rare,Secretory,Smooth Muscle,Submucosal Secretory,T cell lineage,Venous
AC002331.1,0.03468298988108649,0.03421731163963698,0.051279270334672604,0.049586682920028824,0.0465685592153966,0.05133056810816917,0.03666001046112798,0.048706451553179465,0.039201944356855006,0.038916381449739766,0.04247090303190169,0.04776618791694867,0.026325011334497574,0.03902378252258543,0.04343248313895093,0.04706814695507846,0.04688315750132912,0.05023574932707663,0.04586187869953954,0.06476478200873852,0.05590618098307067
AC004791.2,0.02313664250087288,0.02362225226510581,0.027917100889641264,0.027615480749869345,0.023575854478284218,0.02682622299807916,0.021052856576475137,0.02119252672063113,0.021750181074489006,0.02085471719368086,0.019413076424528726,0.023222841197947434,0.020476649518984466,0.021649594581920936,0.031183029192543437,0.026538169151276346,0.02541373154170168,0.023422936479067152,0.026451168697724604,0.023676505701979843,0.028564135254688684
AC006129.2,0.017688672720213523,0.013765989538098388,0.019177624650225735,0.022177142348126257,0.014696834804150523,0.024769843617726366,0.01810627421217393,0.017453698774761613,0.016117927476202873,0.014561501012210307,0.017104714374189207,0.015286281639310702,0.01444504659338657,0.0175481992470927,0.018499960166726157,0.021230720416394466,0.01735998007243417,0.020249995685115443,0.02131306860853988,0.021203560166375902,0.02201024104038922
AC006369.2,0.02978450073293524,0.03570940050157642,0.03592809322155775,0.03812021387061131,0.04215780106774554,0.05239412869535789,0.034559130442697795,0.031439401857549926,0.04617627625878667,0.026755209646503443,0.031992166619072414,0.03524856649973428,0.021683350108642925,0.037814712710055993,0.03515049431549302,0.03477410606630146,0.04100828642113018,0.04193574237384772,0.03834228136737233,0.047780960903101174,0.0485130857354083
AC008268.1,0.016079150059547544,0.015439732061026432,0.019438335141829514,0.015900518846942647,0.018497844550439475,0.022290110168322542,0.016888964523232592,0.02077933469646276,0.01650718895626619,0.011106013996075612,0.016114535070330047,0.01738556510047311,0.012762165124328177,0.015567763347439428,0.016895851025432566,0.020653910783812353,0.018327354894048797,0.022763610411079944,0.01554015814923209,0.015460107905942107,0.0157245658138999
AC013264.2,0.010030403998364683,0.009094660791210695,0.010901382623325523,0.008576891421553257,0.008130837119276384,0.009778875370626897,0.00709468493882215,0.010124726819738672,0.011373257830637832,0.006203497280676231,0.008087145785573166,0.008949302112967633,0.006119660232913321,0.011670114453094349,0.010550669194918512,0.009603243398073762,0.00879110803053079,0.01198107407975193,0.00981885066979906,0.009100473611848146,0.010480044283685118
AC016831.7,0.008447606890351868,0.01076656064062144,0.011546299562000843,0.011665482177403754,0.009726037361836632,0.01058398299288074,0.008496276716302103,0.008656286670322852,0.00981766529254915,0.008687304952749325,0.010113015443430707,0.011872900075009433,0.008115006966756152,0.010469141294547903,0.010580252722765044,0.013111582816644653,0.00952568033226048,0.012918047246538817,0.011908960354210131,0.01166765490051641,0.01106760617202256
AC020571.3,0.02285482404840847,0.02072286611437947,0.02817040829603523,0.023923338536437848,0.02479369219250674,0.026127851897077226,0.02005834176903403,0.020962319359041946,0.020480159073733337,0.02086444232323799,0.020581263558567073,0.024650896066427275,0.020887571774825614,0.026859510212920896,0.025863418171905513,0.027149328348742854,0.02035416888449356,0.02539633410300005,0.02470603848704036,0.027055584922904625,0.02691700170163509
AC069363.1,0.026367564776239423,0.017262929336696684,0.03229323986613304,0.031048703086799953,0.021586068237968395,0.031203923260371306,0.023114698656689307,0.025570393761954247,0.02985073749235756,0.024388918900736845,0.02009194230518518,0.02408520571504439,0.019297943646818597,0.027808749245450074,0.03272887929626533,0.03570144060481182,0.029264570787142844,0.03473603444751863,0.034715851808755825,0.02684899130434042,0.03438585343720455
AC092580.4,0.01433363279196514,0.01443235972794505,0.018004047221515617,0.01773707144392112,0.016197479291917533,0.02072675222324851,0.01448533641864933,0.013103007690361053,0.015695406149912605,0.010923250139089496,0.013902742638666062,0.015364815377310412,0.010335358960031585,0.018085939117365953,0.017761478061939555,0.01667274271378989,0.015000425148904782,0.018852351603075558,0.01780780563854657,0.01964941309754568,0.021228911006688684
