features,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous,unlabeled
AC006129.2,0.0009379172669696025,0.007647077280126518,0.0047921234000899236,0.007609499010318208,0.0011989714912393863,0.0015691253591582893,0.007651413151418175,0.010130872980890016,-8.428861413634108e-05,0.0085212063883178,0.003305584570819307,-0.020249466315164787,0.005823788602144623,0.005141369879868558,0.0013693904006904683,0.005795013911578357,0.004863650538087883,0.006255781463178978,0.027935840247519227,0.0034345139773000843,0.004563368095573758,0.01654189361071041,-0.005925788906629902,0.005787323888762567,0.015125605520748337,0.014290363440566091,-0.006165822174003215,0.011112425746040749,0.0030154546965784736
AC006369.2,-0.012269784428567472,-9.962864645908496e-05,-0.009999972866347464,0.0097424309320056,0.013580865335481173,-0.0005511087005390823,-0.007594576824514535,0.0047692912050203325,-0.007948012436651308,-0.0006229581539706669,-0.008002110946687534,0.023136927743563483,0.025606255416995488,-0.0021898276241660098,-0.0007606603999096143,0.004775961353545752,0.002980543486216308,0.005458400424808154,-0.03463558227048784,-0.0023790003125141895,0.0040696740985361555,0.016076586900779635,0.009288245191890893,0.002387388905205972,0.027401541183341514,0.03213950978412758,-0.017594405376527834,0.009739939118295106,0.01264858624730043
AC008268.1,-0.0039774001191630656,-0.006020130252022558,0.010604822877725262,0.0119187295381069,-0.007042097379242045,0.006635742671169258,0.008980003272079224,0.0029773560157229885,0.0014834146987670598,0.009570996850738624,0.0007877074508874956,0.0004661331050998902,-0.005303091108790809,0.00595662674973794,0.0049006562840035045,0.0032978220679447997,0.0003260965587436161,0.0010292555665316384,-0.0021913652029852647,5.826436660529243e-05,0.005701046329587883,0.0008878689636736313,-0.00045788512047981763,-0.007682316422814235,-0.000987910041614536,-0.0005153280538042132,0.009685374339421834,-0.00667086046139183,0.005355601257915725
AC013264.2,0.005150332338146604,0.009305403480989712,0.004826689208954469,0.009016478069552475,0.0025322275239191756,0.008009621753206641,0.010465507319493455,0.00859725954453002,-0.004576292113972366,0.009509270096564125,0.011470654980588944,0.006264403834182472,0.006755975251244644,0.012289814844949667,0.009792462151884023,-0.0033607806802908326,0.0015970225714701265,0.0055243660201368385,0.026667387449292018,0.009430597489697122,0.00933429401203705,0.006967995569012584,0.004279557257039057,0.009665816608294703,0.012648997805922008,0.005314481790236553,0.00900002284919428,0.006516366246093422,0.012143176262954756
AC016831.7,0.0006236053861889528,0.0016826842643265234,-0.002509636951640951,-0.0006007578539381324,-0.0038604727679174607,0.002517346833485626,0.002395255790718969,-0.0003248226446641727,0.0027799569221057707,0.0032782419187287965,-0.004649500996315613,0.0006919775899873839,-0.004913744915568562,-0.006646637501523129,-0.005209991686434164,-0.003139922111579223,-0.0023476440466572187,-0.003163287088892122,-0.012716503769278971,-0.0057167751919872875,-0.0012426417772117661,-0.0025837539148801316,-0.0021657819476839273,-0.0004780359802397579,-0.003129461252549942,-0.004253508617122362,0.0011683563467673208,-0.0026432307045908075,0.001584709094889662
AC020571.3,0.02155604375345297,0.01789307992815998,0.026774243928033827,0.00045802045537133543,0.0017727785514874367,0.011758941513922904,-0.0002921325370430045,-0.003929424139773901,0.010218049279731531,0.002798992966417711,0.0020621506592056306,0.017123228259703523,0.00692915525437143,0.007870063491246653,0.022171202399939208,-0.02296713879022788,0.0020335281250041305,0.007920399088423657,-0.012740958994689112,0.021896645565744506,0.01824217129714168,0.01605434231683655,-0.0021419250021950543,0.009353449793838071,0.008341555159315459,0.03083462318672608,0.02177611545906108,0.007852165798864053,0.009473474942668947
AC069363.1,-0.004606245539415742,-0.0027880472688212843,-0.01125429773493277,-0.01119364436827259,-0.013021366662039326,-6.876826096421484e-05,-0.00019724428618046256,-0.004571187597245913,-0.004028773415212187,-0.008304073327984324,-3.535909469769165e-05,0.002065644978187675,-0.006573687734998035,0.004213221929039308,-0.00037576162142920476,-0.0019202320213762387,0.003314905222635951,-0.006250994053270718,0.013022519015568147,-0.011640596620163098,-0.01065483127578514,0.008434741002825102,-0.009287978106059476,-0.0023364559595314294,0.0006584694913265571,-0.002320754798400079,-0.007675459843189601,-0.013067095666216303,-0.004180584923552785
AC092580.4,0.0027788108654058998,0.005904553961936484,0.014010619278001091,0.008634298347500314,0.0021286720597482435,0.009925459899526028,0.011746053945675274,0.01195318646015143,0.0029419908201241234,0.007917661772186666,0.010398293551991565,0.004656597039693407,0.01482479233667916,0.006996207250482584,0.004489088206829948,0.017082631709497545,0.011382039933261303,0.017501850650570198,0.019960153832638817,0.012851014274766879,0.013873675446720657,0.002506943881005344,0.0010696650251429682,0.00250133467570453,0.003909292002328018,0.0055338573113479055,0.004434141405761155,0.013853471146908398,0.007148460502750714
AC104820.2,-0.0060430840075238156,-0.013358494679211862,-0.011685050592583436,0.002559899126291708,0.015168754260797753,0.013441480932591975,-0.008618336023383098,0.005745026203394486,-0.005330423625153402,-0.0037274669580247694,-0.005166837039444396,-0.002432111895992247,0.02687103973909372,-0.002226817721417435,-0.008368696008284705,0.019303354503813118,-0.002100072044462852,0.001777099441720821,-0.1442382746549941,-0.01172048670631977,0.011950492076580187,0.02554481569813951,0.008436285682017852,0.009461142263964696,0.005189895636161484,0.0029122751978655297,-0.00016254490848009392,-0.017713500696291545,-0.012280088862834429
AC133644.2,-0.0017425530347080069,-0.004183238586188051,0.00048708561586630116,0.00791921239847251,-0.006605639508768307,-0.009531969835727577,0.002790844820282027,-0.014502495878998631,0.0023714946430140158,0.0037041835253171862,0.009070025279197452,0.0184787805199727,0.004114220579581471,0.009764695786990494,-0.004032579818213663,0.03144433410517258,-0.0020708118659890067,0.0065084658287938345,0.0012429153046431165,-0.011338492134477924,-0.008257331994281475,-0.003768013685456395,0.011763799667597628,0.006365639612104508,-0.0014125573896781659,-0.00033915024114759747,-0.0027782258882419254,0.0027265349334545945,-0.0012330476649020671
