gene_symbols,AT1,AT2,Arterial EC,B cell lineage,Basal,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,Lymphatic EC,Macrophages,Mast cells,Mesothelium,Monocytes,Non-T/B cells,Rare,Secretory,Smooth Muscle,Submucosal Secretory,T cell lineage,Venous
AC002331.1,0.0042912827796473,0.0151169889652927,-0.0124618083077538,0.0061670117926376,0.0041672399659653,-0.0007115392794964,-0.001599063041021,0.0094475426902547,0.0093281286932887,-0.0043508592432248,0.0083971473679968,-0.0042799281865329,0.0226004610574113,0.0105347685111437,0.0035379622731688,-0.0058928745764998,0.0004826551176581,-0.0037476618965275,0.0221385139236833,0.0071217439134518,0.029870150869261
AC004791.2,0.0130137236225088,0.0114344901705527,0.0047457547824829,0.0027525198306319,0.007966433790753,0.01450141381871,-0.0004294027535972,0.0027219455914147,0.0027138683182449,0.0080190496388102,0.0067309465478875,0.0097059829682772,0.0109696804750712,0.0053363810533709,-0.0012970321205229,0.0105367987172356,0.0139216915892782,0.0026472730286612,0.0054531044852408,0.0151188863307032,0.0024709728803122
AC006129.2,-0.0013378703756847,0.0072403450498783,0.0061421454536,0.0055242738664303,0.0064424391469259,0.0181713308091735,0.0085742399578065,0.0112854168170604,0.002897136991167,0.0052206105496728,0.0095595000554313,0.003494387332137,0.0079305415593118,0.0106868663578671,0.0082912292420457,0.0144756419474536,0.0079499086198881,0.0095428979237925,0.0171696270572622,0.0116131332468458,0.0135233442568816
AC006369.2,0.0045917231450865,0.0106403492204597,0.0039896140011177,0.0109480995197817,0.0025451430588136,-0.0020985740571099,-0.0053749950396935,0.0042700466684275,-0.0019103530889132,0.006699773207222,0.0062408619679184,0.0136778022145542,0.0101153598894909,0.0001291078365426,0.0110934337270139,0.0069170603497547,-0.0079654069644712,0.0085410615535529,0.0027237589182064,0.0037143834960864,-0.002672184055777
AC008268.1,0.0025388902394761,-0.0031175492617936,-0.0080041297152708,-0.0052592886174676,-0.0009453927693459,-0.0064180001940997,-0.0046867329258984,-0.0048424229145473,-0.0034658773434676,-0.0046251817518728,-0.0057454768391441,-0.0065479397458384,-0.0033723207670771,-0.007818155969046,-0.005405837812757,-0.008776040972868,-0.0036195671977104,-0.0113437360184956,0.0012593253094442,-0.0045741927991694,-0.0038430495446824
AC013264.2,0.0065132481480528,0.0043009893280715,0.0031964448857692,0.0028759457471535,0.0040292545553927,0.0038561280814365,-0.0001763952551982,0.0039504198707688,0.0043441849199908,0.0029412373214002,0.0018422630302412,0.0058011623066828,0.0028170458269189,0.0042186048714909,0.0028861223277961,0.0035316762112113,0.0034061977791102,0.0056696620360322,0.0031217602257685,0.0047326579369782,0.0039478803839253
AC016831.7,0.0001716623538081,0.0027700113345246,-0.0001452725203594,-0.0018419782201266,0.0013569728193931,0.0027012017623729,0.0008852979683285,0.0001049690489439,-0.0004967316185598,-0.0005554760098469,0.0004208147603321,0.000152538468744,-0.0008571402028212,2.2506778930290705e-05,0.0008021409640683,0.0051466424149443,0.0009078510135906,-0.0006185195794612,-0.0011008542644329,0.0020915886265432,0.0012341018695419
AC020571.3,0.015167568638689,0.0151961658810901,0.0216150895013695,0.0161705279029472,0.0176714757705551,0.0187481643105592,0.0127740842717682,0.0137077041532599,0.0157071135598523,0.0122931920941025,0.0141098249856641,0.0102579430890414,0.0181959903403254,0.011699451720762,0.0144737647650888,0.0223228971274205,0.0135135855474769,0.0190296322772231,0.0152139139160608,0.0145052143951484,0.0134066364456286
AC069363.1,-0.0040604678378041,-0.0058443749281191,-0.0088872207451758,0.0072295641563387,0.0035182806820156,-0.011715228250654,-0.0028810633846745,-0.0054831162111682,-0.0080739160366138,-0.0019993048962773,-0.0008135815940575,-0.0075870580377916,-0.0065199902459949,0.001525080956628,-0.0009091513614474,0.0077443957590664,-0.0035109119516946,-0.002355763690572,-0.0002869131671627,-0.0084802267120619,-0.0059940737898113
AC092580.4,0.0025668838772089,0.0109005652886574,0.0121778759955845,0.0118775821553124,0.0103966470603801,0.0133024661586482,0.0100324370087864,0.0100235979978849,0.0100749569114999,0.0059710681681929,0.0102470777704976,0.0119760928041421,0.0080709691397091,0.0132167808642401,0.0057233081125053,0.011497997376836,0.0088338335946237,0.0110273385136099,0.0138084501550111,0.0131142742206582,0.0153756836920125
AC104820.2,0.0048376497677152,0.0234643728712649,0.0205914821441987,0.0018549265848802,0.0115044517743286,0.006621590912911,-0.0028045088469832,-0.0039709914533752,-0.0031287419300336,0.0057092352308363,0.0091198284508183,-0.0020443457776797,0.0104146529442959,0.0145605422994124,0.0084230490185012,-0.0070771433074138,0.019567693651994,0.013377835120187,-0.0082673473976559,0.0105209238555618,0.0029442186842832
