,Basal resting,Suprabasal,Hillock-like,Deuterosomal,Multiciliated (nasal),Multiciliated (non-nasal),Club (non-nasal),Club (nasal),Goblet (nasal),Goblet (bronchial),Goblet (subsegmental),AT0,pre-TB secretory,Ionocyte,Tuft,Neuroendocrine,SMG serous (nasal),SMG serous (bronchial),SMG mucous,SMG duct,AT1,AT2,AT2 proliferating,EC arterial,EC aerocyte capillary,EC general capillary,EC venous systemic,EC venous pulmonary,Lymphatic EC mature,Lymphatic EC proliferating,Lymphatic EC differentiating,Peribronchial fibroblasts,Adventitial fibroblasts,Alveolar fibroblasts,Pericytes,Subpleural fibroblasts,Myofibroblasts,Smooth muscle,Fibromyocytes,SM activated stress response,Mesothelium,Hematopoietic stem cells,B cells,Plasma cells,CD4 T cells,CD8 T cells,T cells proliferating,NK cells,DC1,DC2,Migratory DCs,Plasmacytoid DCs,Alveolar macrophages,Alveolar Mph CCL3+,Alveolar Mph MT-positive,Alveolar Mph proliferating,Monocyte-derived Mph,Interstitial Mph perivascular,Classical monocytes,Non-classical monocytes,Mast cells
PMCH,0.8404734911436118,0.5212198216024568,4.0815713576076945e-05,0.9962072046497858,0.9152726386357677,0.7670311607850414,0.8641277155515464,0.9806338782842795,0.7251844012257584,0.9388575139975843,0.9534584808434514,0.9432273391047065,0.9007608800277377,0.014541622713675187,0.9807889544410806,0.8018067078620081,0.9425995039898956,0.9436829051771739,0.965339114188771,0.9466022038991696,0.8664812349437618,0.6497391631615822,0.9532664556706607,0.8871591792530928,0.873237988621705,0.8529660724299826,0.9127032465006713,0.8799844130052232,0.6868642925340944,0.5189859229808551,0.9644152335679559,0.9755276437380207,0.8882348664917858,0.9113228819722254,0.9175846044877956,0.9751528519407161,0.959975128680894,0.943282338902377,0.9726251777773156,0.976670706580669,0.977318041726761,0.9884156311232936,0.8994337044895896,0.9973120157318672,0.4461089460977359,0.8555822383427857,0.6722834412323424,0.867415321918744,0.9731616804116162,0.9143915698573836,0.9735817824442661,0.9648582158660676,0.656644595875292,0.8806970930066523,0.9481124529555569,0.9215391273458289,0.7710040794743427,0.8962000959377833,0.8412290810604974,0.8883508462450768,0.8949742330258543
GPR132,1.0921758268883617e-23,7.035696110130192e-17,0.006690658403202473,0.14197302603406045,0.0006565240169790233,1.4076757277280562e-19,3.5256851015132025e-06,1.0128051631559632e-13,1.0344417036332373e-13,0.10078514325248539,0.12190350414816303,0.07621252405624097,0.02303309241283349,0.22270374673003535,0.5983159985344002,0.608524498563544,0.053392783574495034,0.06465508443210541,0.23287808912543229,0.7406937976942469,3.078947340254537e-05,2.870257316854617e-36,0.18261980999045424,2.135812183979986e-05,2.486180693177777e-05,1.0601421566851463e-10,7.68080886608639e-05,0.0001116268795888225,0.0017524150544891777,0.7853973687200949,0.2802405984050619,0.045493478058168973,3.779963197055352e-06,0.001980690082575949,0.006623377758600508,0.517339100954606,0.21174171009827558,0.006987088055088491,0.34614638079188476,0.22477871451676912,0.5048830606958618,0.8602941889015152,1.3135400362101144e-10,0.8441413693320271,2.7697873569898036e-30,6.875068255309915e-07,0.000356410625146531,0.882813089722313,2.6668158382924777e-09,5.725638170519885e-103,1.7264686008505897e-20,0.5791005294994811,0.7675515809555709,6.59360204410136e-82,0.8739347727771283,0.0004044420368442276,1.0095742399075982e-203,8.274830602078219e-65,2.387609011349523e-48,3.0413510270295227e-34,0.032219306603772944
MX2,6.798491338629524e-41,2.4682089763830776e-09,0.014706795529913972,0.785203981639458,4.461221420801248e-165,0.4552928097886316,1.4971274783479942e-12,2.994323397113589e-23,1.6361838571304692e-05,0.07164170867290627,6.46932771720201e-05,1.2230001209635956e-05,0.00014909141171638474,0.10968519347873613,0.5025327877651646,0.7262085360522323,5.007539076849825e-07,2.103838353133619e-06,0.006941199401988058,0.10097866805484433,1.3329698440917362e-28,1.3818854825423612e-230,0.0001163019370421677,0.016305241506728033,1.5381421696855899e-06,1.470734098694138e-23,1.1491506775197235e-08,1.0050010096703266e-12,6.511380216866797e-12,0.47349751345403346,0.0033036146915162595,0.019159890941122294,0.5775132555401011,1.3778144553066713e-14,9.941300918258024e-10,0.8836656692212564,0.0009564224080419829,2.0822689503374535e-08,0.01698569500622011,0.005738351016509085,0.08578827457973673,0.696394274437852,0.012361002197684906,0.00012861504084414727,0.009304678095106532,1.5157727412555693e-21,0.8548830725990012,6.420955923503808e-23,1.1824613355371986e-06,2.6511809645430214e-30,0.5845869807765252,0.002811896161719518,2.043262382509998e-164,4.083932312305134e-65,0.14989253812875475,1.55362273252979e-05,5.650227961949743e-54,5.437556782750719e-07,1.3148064008096855e-198,9.874709196500334e-173,1.6349840564160293e-12
FAM46C,8.501327079949844e-71,1.3892431592328764e-06,7.3758097555831076e-09,0.5888175951128308,0.00012157815574905572,8.097403079549437e-34,0.0,2.8753786457931652e-49,1.5003768059386266e-46,1.0556916905099315e-45,4.2314160558893046e-05,7.718976638016027e-37,1.3302111008307989e-258,0.015800172990869304,0.18235704616273096,0.029062527694010135,2.3495293793128525e-45,7.051097495916176e-21,0.002721789362512983,8.28243106154495e-79,1.6584690173011911e-43,0.0,5.393910475981319e-07,2.613200558765988e-44,7.129953459649744e-48,1.5670290115126193e-109,1.3619701902986442e-33,2.2152912749353797e-36,8.669740463588743e-25,0.3484074008602899,0.002248727896159327,1.3674153074089072e-09,1.4949265389403632e-11,3.8445057757279726e-14,6.712653279879112e-21,0.3334799536320904,0.00025647598015293043,1.581727736276064e-13,0.0022124750401235314,3.5003104779906744e-09,0.7136561392977399,0.053508867620672466,6.013539539697518e-41,0.0,8.608104043905533e-220,2.2913260327293176e-171,9.99033666542403e-26,0.49972156938253387,0.00013550277511814026,1.8624904768391213e-21,0.33740647976916516,0.24868446046787085,0.0,5.855511046482571e-50,3.4347732068852913e-09,1.103539607237967e-05,5.723930314600833e-121,4.077167917656095e-28,7.084119176391884e-93,1.6615872892633451e-49,1.751654010312001e-16
KLRC4,0.24847538610696973,0.253841259721011,0.6948134417043195,0.8456561672883579,0.667115131988836,0.2827429020246017,0.5483613934014002,0.31589192220917495,0.23784964685105592,0.8346289961925911,0.8484190094824304,0.8512457287949227,0.7023473140004985,0.8843499497826597,0.9371451741943694,0.9382965640437448,0.8135868117380867,0.8170481377353696,0.8868360713898681,0.826390868938101,0.581904557693665,0.12315229601971443,0.8478005223715768,0.5953649144019701,0.6013241360121464,0.43855846425193135,0.6789949530615337,0.6677285925225178,0.6968317027053867,0.9740881525411936,0.8838388655600674,0.8414348378549498,0.5519898635544536,0.710374622879973,0.734704589573854,0.9187562799001622,0.8694562087276214,0.736233092086823,0.9105214888114316,0.8848633585474118,0.925816469785754,0.9620755228129378,0.7172737344468832,0.7957460790598343,0.2103916930921842,2.5964204531769646e-30,0.0002519424140502032,9.227283545336039e-09,0.9891082933280769,0.807081875478495,0.9917084962319053,0.8852757802003126,0.1134672123875817,0.6609581707577248,0.8312330130179282,0.841384319198489,0.36329333631780647,0.7061120774035372,0.5281496123431911,0.5991352121326758,0.708404864964906
GKN2,8.049845920845152e-137,4.485176181144654e-143,7.296025592104926e-17,0.0002434733000793368,9.117079417387186e-18,6.189841851154057e-94,1.4211821321154986e-32,1.1178200611270577e-90,1.3259188050433614e-122,1.5237988156972097e-06,0.00016897100203073562,1.3839522726354908e-61,0.0075809086745001215,0.007233312702166489,0.11550213163239285,0.9445736416471059,2.521807896108509e-06,4.804463502690523e-06,0.0056306657284502055,1.1995963977645913e-05,5.524609493528213e-211,0.0,3.495093073843699e-270,6.758893584200328e-23,4.883834385215124e-24,3.591536023700286e-53,4.2494399696131745e-22,6.835479946321368e-18,1.993041894876439e-13,0.5167934814806752,0.004424879699864257,1.4100574469625632e-06,2.423026801888152e-27,1.907419926341119e-15,2.5105223969013087e-11,0.1019759351359433,0.0012905996252446056,1.3760953495365852e-10,0.024896315251475086,0.011167467663974915,0.1586958080845443,0.4627408869130707,2.524011274107933e-15,5.847945303667885e-06,6.452493899544161e-69,1.0292078165810178e-97,0.007670103150871865,1.7224459965024509e-53,0.12110397955498539,1.9497670300138399e-25,0.1322184063869215,0.0039795933115276665,3.080289995988631e-190,1.9190013088611268e-23,0.0001325211217702055,0.0008836140047218899,7.330431731359756e-81,4.1354730566600146e-15,8.156041404366662e-46,3.4800380919575484e-27,1.5119931712454172e-21
FAM167B,1.790720380620743e-10,2.1310651504708309e-07,0.07433966277610303,0.45799912988443947,0.0555498733518411,0.001174311829995338,0.002085275046788528,6.56510080635734e-08,3.2883787108170927e-09,0.43115632467431186,0.32025846843997174,0.23425877582043542,0.10627604295847236,0.9973248745413089,0.6650569767463921,0.7961091926457571,0.24618531143254585,0.22085128389111897,0.6823081630562546,0.36120489938615574,0.005622246344985068,3.677027751074184e-15,0.5776250759375162,2.332275867483761e-30,3.3041253415742403e-48,3.6856558391577677e-296,5.491590162608769e-295,0.0,0.6788533675571654,0.8584665962923776,0.5110535589342722,0.21080496042641816,0.26013848749535473,0.1280010097310904,0.0944847178707147,0.9501688032648724,0.4392740286352096,0.3865408042409103,0.6011076916457456,0.6152812936503655,0.864817929544368,0.7940536751268368,0.04963280544180987,0.692787204859657,5.499456656545433e-05,1.6262990664513718e-06,0.6872629703222073,0.002761705957773126,0.5452544128861738,0.005565904646229704,0.6186021724217269,0.5683826247307222,5.1470573903668565e-08,0.009238534089046097,0.2843545072878122,0.9773575096532445,3.6246430830879204e-07,0.05162283042494736,0.00038516228026776785,0.005058861928387222,0.011616325233777626
C11orf88,1.8818991758709427e-73,5.97744487788021e-42,6.8770885747537976e-12,0.0,0.0,0.0,1.715046579655718e-13,6.229174254753733e-60,1.2867116323449315e-10,0.003397851362189624,0.3092530756243588,5.864959749764731e-06,1.2641417035867595e-10,0.1952651770190501,0.6026330547859331,0.2153763841686236,7.707862101622838e-08,5.968594331394139e-06,0.0038615212336902214,0.09286359100764272,4.941952612211219e-33,2.6390637436680503e-261,9.653040290107837e-05,3.998041501683559e-31,4.340569002010981e-31,1.5438297913434065e-68,4.9419092342463825e-17,1.85813774731672e-27,1.669449361606005e-17,0.45915407555463317,0.0008694735783645332,0.001193319246117277,6.473600327475271e-44,7.537937067478332e-23,9.124893166218787e-14,0.02602437816936509,0.0003686873500773047,1.54813394429531e-11,0.01043347683930991,0.001572427289171133,0.07224755928021981,0.38323060258959485,1.2438988516186343e-17,1.5410711692906433e-06,1.1713112016046354e-72,2.38753904033066e-77,0.0045691189737671195,1.5686713656816352e-70,0.02553896560589926,2.859805438426234e-28,0.028303159894436807,0.0051183343946353075,2.889076091357897e-309,3.257902232976769e-31,2.4172140750280824e-06,5.258232464597412e-05,6.112384555735174e-120,1.7065534057666e-21,3.534757106490703e-67,4.913062615360241e-35,4.837833423818369e-26
FAM101B,4.4012516405974853e-07,0.04132856684015125,5.140304439061361e-11,0.5731119777859732,0.014468600404178163,2.6580259148621164e-11,0.00027084244558193087,3.431632053682253e-08,6.734999329842968e-10,0.3070713651042959,0.2774564643023055,0.2350961549758308,0.05043286746842148,0.6888543414587674,0.927871475638087,0.627779055344844,0.22800013781429462,0.16059949079882874,0.6040847095632635,0.7807675664675329,0.0012208870857659182,9.489663725527556e-19,0.8980658874567901,0.7928290413228329,3.732606961832879e-05,1.650686333356278e-30,1.54367042327897e-50,6.534915122894693e-08,0.3509184571508053,0.43792674972135726,0.5809644290371176,0.8275414600532367,0.19703826016206671,0.2978191453800896,0.12758762815298227,0.9880314693954104,0.9946654261013329,0.2746347835183923,0.4815048353376593,0.7483827696983943,0.7223002285169038,0.031176375591892177,0.07357567357611422,0.3314545339817041,1.0222352578715177e-06,0.017114166839820963,0.002568677197618657,0.7224426898730025,0.9887237736243906,0.020973224166495143,0.927981761011566,0.004261337231212452,4.428226748822896e-09,0.028079107884845456,0.930115693572048,0.6162248795190796,5.006425054912024e-06,0.0003930628209032854,3.7315750847247034e-62,8.90003487332399e-10,0.0184443534136643
LHFP,7.1438758653125205e-25,7.39197063138393e-47,0.03774758826497609,3.7848547394477274e-05,8.061971703951404e-21,2.5536987810968382e-121,2.8829206038014056e-36,3.8702076658019696e-100,5.8359382435141284e-145,7.581820453640522e-07,2.6462527208269145e-05,0.007795037060604205,2.6111394128386016e-05,0.015657979947237163,0.2262127876456157,0.7527077395269943,2.788923480120436e-07,5.839189153989126e-07,0.0022433687825900296,5.652521723513073e-06,2.4983732757598808e-26,4.197973941960194e-15,1.8924899423633828e-05,1.557579223747158e-81,0.0,0.0,1.594695680672809e-211,3.4653989489703165e-137,2.0106467135504874e-288,0.02284347211299649,5.146791770218519e-39,2.2224354318118376e-153,0.0,0.0,0.0,3.8431265291688546e-33,1.791761807756976e-17,0.0,0.009531184510511348,4.22603877634546e-150,0.005351651332276946,0.9274683999704497,1.1224371713054191e-18,1.5415006086403575e-07,1.964144856648038e-81,3.7265505027098094e-113,0.006666075532976577,3.120871367930419e-65,0.0412174736015876,7.106835682373656e-22,0.18114083349880739,0.007668210578010841,2.5897492537513574e-194,2.8230220988855695e-23,2.150331203158391e-05,0.11595246779427627,1.3963293071022503e-90,4.4798781864571526e-13,2.203776238721416e-50,7.564128311470524e-17,3.271005574378555e-25
SLC35F3,0.6894247305811274,0.8059185610710804,0.7556223488744188,0.9100116572647181,0.8347106281963613,0.9452858318001491,0.7906093903151783,0.6671613075140186,0.6436641973662581,0.9059660126105571,0.9173120700911634,0.9718312836349301,0.9886916627640266,1.6274803138184108e-68,0.9267172075564797,1.2081696882281792e-12,0.8980847117104175,0.9533134519698752,0.9424406609006617,0.7876565091824288,0.840541325226084,0.13439331905257612,0.5745502051816395,0.8834545204470742,0.7923852712242201,0.69897048541613,0.8026117308243388,0.7882499311518864,0.8538923975556423,0.9859236097925862,0.936746119551775,0.8946569528146822,0.7455166208463013,0.8282684068102125,0.853960392522041,0.95581658282973,0.9288671239995576,0.8548247220186518,0.9513254913835102,0.9373067631651616,0.9596643902858225,0.9793949327505075,0.8423222571417153,0.9208031157421368,0.7810766504044373,0.6098616032830009,0.940544423058628,0.6592975224131152,0.9522786471979703,0.9623454024484799,0.8140249059652636,7.493851217924632e-08,0.44748526390658916,0.777870100453457,0.9078415489640336,0.9557414212509165,0.5948011077386586,0.8753800865963276,0.7503282786266071,0.8671572141548122,0.8682322374466727
