gene_symbols,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous,unlabeled
ABCC8,0.33842892431428884,0.49560246614766124,0.08072218968910452,0.34274328782754493,0.31738518614812306,0.9270244289265042,0.8552670072882844,0.0003569370858329298,0.3277645334263809,0.3072237181570854,0.469067684973702,0.9685467749625434,0.573528466190323,0.3277645334263809,0.3246440106440517,0.9685467749625434,0.9714231617303656,0.3072237181570854,0.9865858965855668,0.3072237181570854,0.6690988074986606,0.9532034310165226,0.3491762633465164,0.5926283939468713,0.6708606811051615,0.31784030406675423,0.3072237181570854,2.028372652840845e-19,0.735159079908892
CX3CL1,1.8171186884561276e-34,8.0199339802553e-39,3.8920249057714923e-103,1.485164302737218e-37,4.049365341773645e-154,3.159757366331282e-08,8.564739173038603e-26,0.0,3.1741668043949774e-18,2.421281513287315e-41,8.38074743456804e-33,0.5800198824181924,1.8299727971123224e-24,2.3219606293266156e-41,1.1898674943722316e-39,0.964696125474834,0.04826691414573226,2.7801847176887075e-40,0.8160774416827179,4.268326923876444e-42,3.078143579303393e-10,0.42344964503723126,3.1164963713562813e-12,0.026147015511144112,0.0007425755472379931,1.556609290389852e-108,5.6394944050302814e-42,1.1255317817528083e-16,0.00046805086608602936
TNFRSF12A,0.0,9.406660308406867e-188,3.679521592367164e-45,5.1058467734218766e-107,1.1572352851470066e-138,0.8528984047754471,0.0005094002163475886,0.0009660527407443246,2.201988924359695e-12,6.41584096338789e-23,8.719449169809244e-90,5.23435991671182e-08,1.9865445273486e-14,8.67366199819053e-12,5.394599621412689e-19,0.13157499542416395,2.747931373052711e-26,1.623980520075259e-89,0.6593854346697685,2.6157242017712806e-116,0.0021277679885320132,0.05324475929580518,0.6618924136923621,1.2404139367195737e-53,0.6396485740277147,2.4183449947373852e-85,1.685212294501587e-119,4.9070534959147614e-73,3.3237794557819082e-46
PRSS21,0.0047785048643867985,0.014563521749908182,0.5603730561809779,0.23278309212513215,0.0002945577399202875,0.4075767200123127,0.5520457200346681,0.0018196945003830676,0.009579356948008152,0.32726070257011297,0.004173142351406355,0.8977064004659028,0.03448285494371522,1.791461132439626e-55,0.8940196062017063,0.6968199985499063,0.9391502701212265,0.18821788888526703,0.9562850092268241,0.06112628930859825,0.0010775335504875196,0.7416887906458629,0.018439876654673993,0.05652522484461099,0.25306860584382496,6.310465824875986e-29,0.012205598736208948,0.16598939547354308,0.037365055039596876
PROM1,1.0405643276562647e-21,1.0170222767766936e-22,3.682721218923668e-20,1.7399372462150856e-18,4.1622898868472735e-07,0.015804453321628827,0.07356232472319872,8.190043595377469e-23,0.0,1.0221784214511123e-22,5.069613042221569e-22,0.6988974776461323,2.487499140171996e-15,3.65188848385684e-23,3.4725757152023554e-07,0.020375425836655785,0.1031213629419479,2.449132263879053e-21,0.8689986255866912,4.4407175237309976e-23,4.328629086657515e-06,9.443891064436456e-30,6.545398688433172e-93,9.090966562623982e-11,0.10240402769210571,0.0,3.7063489360704666e-20,7.965843644179988e-21,1.8585558217977101e-22
NOS2,0.07269657509485318,0.06938727737647231,0.10783391133500732,0.08863815250463153,1.7477081697800433e-23,0.830497684395826,0.8293157138854482,0.30703502395068893,0.15180142369921726,0.06620271365506783,0.07970277089141532,0.9434437140878629,0.16879920664748016,0.06620271365506783,0.08073115087092475,0.9434437140878629,0.9793695626113194,0.06938727737647231,0.9758685610520877,0.06938727737647231,0.3811524595401594,0.0007428388134547855,6.562951084815596e-31,0.23922921201675784,0.6857495806511544,0.7925775796226684,0.07613395324081457,0.08724819941473791,0.10415262287821729
DNAH9,3.23601419963661e-07,4.049985050247976e-07,9.949474475777689e-07,1.4249656335587369e-06,0.001422178458299584,0.17248582363293052,0.32725332000560836,8.365399269732736e-08,0.0,2.9135394963839804e-07,5.037140395509541e-06,0.7545741596764521,3.15411042845477e-05,7.484728002062082e-08,3.2469818397595344e-07,0.0032082120814323272,0.2714663924800401,2.905612373823943e-07,0.9280488345808134,5.2577100425376115e-08,0.014082360197573392,0.003385103921629067,0.016890232573188682,0.00039313176117937286,0.1701057617832874,0.0034683184209508945,1.1783297838320264e-06,9.539930242476254e-07,1.657815744134071e-07
MATK,3.132564521302999e-19,2.6091048193182615e-18,3.387044844599597e-11,1.9181540955153396e-08,9.964074760119692e-20,0.036726749214414586,0.09447554948717661,0.5488944351496777,1.3014713053650807e-14,0.6749407995039647,2.3148277106169827e-17,0.8791190646970168,1.4357538595515016e-10,0.17304538535929326,1.013940414812511e-56,0.717726002118741,0.07963491567751349,5.549892473103297e-10,0.8775002259367379,0.0,1.181042580679754e-07,0.0018276303366813085,4.6559585120091747e-20,1.2396520563937297e-08,0.00011910330587190975,7.341503023056883e-20,5.544782090091557e-27,6.225215401914972e-18,5.862147218890249e-33
CD79B,9.350102105674168e-12,1.0815421561786333e-11,0.008109755728888765,0.0,5.168752557235429e-12,7.267240102321e-13,0.5628286451171263,2.5702007494175663e-09,9.293861101640141e-12,0.020311785117889124,2.7942012462312452e-08,0.7873668882174212,2.2697138371857172e-06,2.030156491621406e-09,0.44877206061232333,0.7873668882174212,0.15415516450237216,0.35526015363745755,0.9084371262937299,2.2787651593911503e-31,0.4024580069336784,0.029251908444743263,5.168752557235429e-12,2.1172152973533532e-05,0.004252467472751672,2.0161396229297968e-11,0.4355980733871767,1.5063583066778618e-07,2.4959776056225283e-05
TKTL1,0.4009893134369046,0.42526653605001596,0.43735097861356387,0.6735988405227243,0.4502544558507722,0.8345021367806398,0.8807399709054623,0.4761190123142348,0.5164648653900988,0.6320163678142756,0.5873203127807484,0.9741266350838118,0.5154194096684708,0.5164648653900988,0.5542413653292657,0.9741266350838118,0.8552802168138077,0.43929946915511175,0.9889663397980596,8.508327523087985e-17,0.6010399149796196,0.7718051496158607,0.425205245900416,0.7482345756691018,0.7266780666815271,0.43810539970865725,0.975554782636864,0.4761190123142348,0.24636474559266086
